player,salary,year,pos,age,team,g,gs,mp,fg,fga,fg%,3p,3pa,3p%,2p,2pa,2p%,efg%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,season,avg_salary,adjusted_salary
donte divincenzo,4771296,2023,SG,26,GSW,72,36,26.3,3.3,7.5,0.435,2.1,5.3,0.397,1.2,2.3,0.525,0.574,0.8,1.0,0.817,1.1,3.4,4.5,3.5,1.3,0.1,1.6,1.8,9.4,2023-24,4771296,5160633.7536
devin vassell,4704497,2023,SG,22,SAS,38,32,31.0,6.9,15.7,0.439,2.7,7.0,0.387,4.2,8.7,0.48,0.525,2.1,2.6,0.78,0.2,3.7,3.9,3.6,1.1,0.4,1.5,1.5,18.5,2023-24,4704497,5088383.955200001
matisse thybulle,4643558,2023,SG,25,POR,71,28,16.9,1.5,3.6,0.435,0.8,2.1,0.365,0.8,1.5,0.533,0.542,0.3,0.4,0.679,0.6,1.4,2.0,0.7,1.2,0.5,0.3,1.6,4.1,2023-24,4643558,5022472.332800001
jarred vanderbilt,4637699,2023,PF,23,LAL,78,65,24.1,3.2,5.8,0.548,0.4,1.2,0.322,2.8,4.6,0.604,0.58,1.2,1.8,0.691,2.2,5.3,7.5,2.4,1.1,0.3,1.2,2.4,7.9,2023-24,4637699,5016135.2384
james bouknight,4625230,2023,SG,22,CHO,34,0,15.1,2.0,5.7,0.358,1.0,3.2,0.303,1.1,2.5,0.429,0.443,0.6,0.9,0.667,0.2,1.9,2.1,1.2,0.4,0.1,0.9,1.4,5.6,2023-24,4625230,5002648.768
brandon clarke,4605805,2023,PF,26,MEM,56,8,19.5,4.1,6.2,0.656,0.0,0.1,0.167,4.1,6.1,0.665,0.658,1.8,2.4,0.723,1.6,3.9,5.5,1.3,0.6,0.7,1.0,2.3,10.0,2023-24,4605805,4981638.688
jalen williams,4603219,2023,SG,21,OKC,75,62,30.3,5.5,10.6,0.521,1.0,2.7,0.356,4.5,7.9,0.579,0.567,2.1,2.5,0.812,1.1,3.4,4.5,3.3,1.4,0.5,1.6,2.5,14.1,2023-24,4603219,4978841.6704
grant williams,4565898,2023,PF,24,BOS,79,23,25.9,2.7,6.0,0.454,1.5,3.7,0.395,1.3,2.3,0.546,0.575,1.2,1.5,0.77,1.1,3.5,4.6,1.7,0.5,0.4,1.0,2.4,8.1,2023-24,4565898,4938475.2768
darius bazley,4521733,2023,PF,22,PHO,43,1,14.3,1.9,4.3,0.454,0.5,1.2,0.377,1.5,3.0,0.485,0.508,0.9,1.6,0.543,0.8,2.4,3.2,0.9,0.5,0.8,0.6,1.0,5.2,2023-24,4521733,4890706.412800001
tyrese haliburton,4469241,2023,PG,22,IND,56,56,33.6,7.4,15.0,0.49,2.9,7.2,0.4,4.5,7.8,0.572,0.586,3.1,3.6,0.871,0.6,3.1,3.7,10.4,1.6,0.4,2.5,1.2,20.7,2023-24,4469241,4833931.0656
nassir little,4423042,2023,SF,22,POR,54,4,18.1,2.5,5.6,0.442,1.1,2.9,0.367,1.4,2.7,0.524,0.538,0.6,0.9,0.717,0.5,2.1,2.6,0.9,0.4,0.4,0.7,1.2,6.6,2023-24,4423042,4783962.227200001
jalen duren,4372924,2023,C,19,DET,67,31,24.9,3.9,5.9,0.648,0.0,0.0,0.0,3.9,5.9,0.652,0.648,1.4,2.3,0.611,3.4,5.5,8.9,1.1,0.7,0.9,1.4,2.7,9.1,2023-24,4372924,4729754.5984000005
gorgui dieng,4352732,2023,C,33,SAS,31,1,11.5,1.5,3.8,0.385,0.7,2.4,0.28,0.8,1.4,0.571,0.474,0.3,0.4,0.769,0.9,2.6,3.5,1.7,0.1,0.5,1.0,1.8,3.9,2023-24,4352732,4707914.9312
justise winslow,4344594,2023,SF,26,POR,29,11,26.8,2.8,6.8,0.409,0.5,1.6,0.311,2.3,5.3,0.438,0.444,0.7,1.0,0.714,1.7,3.3,5.0,3.4,1.0,0.4,1.5,3.1,6.8,2023-24,4344594,4699112.8704
dylan windler,4280676,2023,SF,26,CLE,3,0,3.3,0.7,1.0,0.667,0.3,0.7,0.5,0.3,0.3,1.0,0.833,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.0,1.7,2023-24,4280676,4629979.1616
stanley johnson,4264651,2023,SF,26,SAS,30,0,15.6,2.2,4.1,0.533,0.6,1.3,0.45,1.6,2.7,0.573,0.607,0.9,1.3,0.667,0.7,2.4,3.2,2.2,0.5,0.2,1.1,1.6,5.8,2023-24,4264651,4612646.521600001
george hill,4241152,2023,PG,36,IND,46,1,18.1,1.7,3.6,0.47,0.7,2.1,0.358,1.0,1.5,0.62,0.572,0.9,1.2,0.764,0.3,1.5,1.8,2.4,0.6,0.1,0.7,1.2,5.0,2023-24,4241152,4587230.0032
terence davis,4241152,2023,SG,25,SAC,64,5,13.1,2.4,5.7,0.423,1.4,3.8,0.366,1.0,1.9,0.537,0.545,0.5,0.7,0.791,0.3,1.9,2.2,1.0,0.7,0.2,0.8,1.6,6.7,2023-24,4241152,4587230.0032
chris duarte,4174311,2023,SF,25,IND,46,12,19.5,2.7,7.2,0.369,1.2,3.8,0.316,1.5,3.5,0.428,0.452,1.3,1.6,0.847,0.4,2.1,2.5,1.4,0.5,0.2,0.9,1.4,7.9,2023-24,4174311,4514934.777600001
alex len,4154844,2023,C,29,SAC,26,2,6.2,0.6,1.2,0.533,0.0,0.1,0.0,0.6,1.1,0.571,0.533,0.4,0.6,0.688,0.9,1.4,2.3,0.5,0.2,0.4,0.6,1.1,1.7,2023-24,4154844,4493879.270400001
ochai agbaji,4154590,2023,SG,22,UTA,59,22,20.5,2.8,6.5,0.427,1.4,3.9,0.355,1.4,2.7,0.532,0.532,0.9,1.2,0.812,0.7,1.3,2.1,1.1,0.3,0.3,0.7,1.7,7.9,2023-24,4154590,4493604.544000001
jordan poole,4136606,2023,PG,23,GSW,82,43,30.0,6.7,15.6,0.43,2.6,7.8,0.336,4.1,7.8,0.524,0.514,4.4,5.1,0.87,0.4,2.4,2.7,4.5,0.8,0.3,3.1,2.6,20.4,2023-24,4136606,4474153.0496000005
keldon johnson,4106520,2023,SF,23,SAS,63,63,32.7,8.0,17.7,0.452,2.1,6.5,0.329,5.9,11.2,0.523,0.512,3.9,5.2,0.749,0.9,4.2,5.0,2.9,0.7,0.2,2.1,2.0,22.0,2023-24,4106520,4441612.032000001
james johnson,4072637,2023,PF,35,IND,18,1,9.0,1.2,2.7,0.449,0.2,0.8,0.2,1.1,1.9,0.559,0.48,0.2,0.4,0.5,0.2,1.4,1.7,0.8,0.4,0.3,0.4,1.8,2.8,2023-24,4072637,4404964.1792
aaron nesmith,4033717,2023,SF,23,IND,73,60,24.9,3.5,8.1,0.427,1.6,4.3,0.366,1.9,3.8,0.496,0.525,1.6,1.9,0.838,0.8,2.9,3.8,1.3,0.8,0.5,1.0,3.2,10.1,2023-24,4033717,4362868.307200001
moses moody,3965646,2023,SG,20,GSW,63,3,13.0,1.7,3.6,0.476,0.8,2.1,0.363,0.9,1.5,0.641,0.584,0.6,0.8,0.698,0.4,1.2,1.7,0.8,0.3,0.1,0.5,0.9,4.8,2023-24,3965646,4289242.7136
mark williams,3946434,2023,C,21,CHO,43,17,19.3,3.7,5.8,0.637,0.0,0.0,0.0,3.7,5.8,0.637,0.637,1.6,2.3,0.691,2.2,4.9,7.1,0.4,0.7,1.0,0.9,2.2,9.0,2023-24,3946434,4268463.014400001
cole anthony,3831541,2023,PG,22,ORL,60,4,25.9,4.6,10.2,0.454,1.3,3.4,0.364,3.4,6.7,0.5,0.516,2.5,2.8,0.894,0.8,4.0,4.8,3.9,0.6,0.5,1.5,2.6,13.0,2023-24,3831541,4144194.7456000005
corey kispert,3767033,2023,SF,23,WAS,74,45,28.3,3.9,7.9,0.497,2.2,5.2,0.424,1.7,2.7,0.637,0.637,1.0,1.2,0.852,0.4,2.4,2.8,1.2,0.4,0.1,0.7,1.3,11.1,2023-24,3767033,4074422.8928000005
aj griffin,3749348,2023,SF,19,ATL,72,12,19.5,3.4,7.4,0.465,1.4,3.6,0.39,2.0,3.8,0.536,0.56,0.6,0.7,0.894,0.5,1.6,2.1,1.0,0.6,0.2,0.6,1.2,8.9,2023-24,3749348,4055294.7968000006
mike muscala,3711008,2023,C,31,BOS,63,9,15.0,2.1,4.6,0.449,1.3,3.3,0.391,0.8,1.3,0.588,0.587,0.6,0.8,0.769,0.6,2.6,3.2,0.8,0.2,0.4,0.4,1.6,6.1,2023-24,3711008,4013826.2528000004
georges niang,3673897,2023,PF,29,PHI,78,1,19.4,2.8,6.4,0.442,2.0,4.9,0.401,0.9,1.5,0.576,0.596,0.5,0.6,0.867,0.2,2.1,2.4,1.0,0.4,0.2,0.7,1.9,8.2,2023-24,3673897,3973686.9952000002
isaiah stewart,3640308,2023,C,21,DET,50,47,28.3,3.9,8.8,0.442,1.3,4.1,0.327,2.6,4.7,0.542,0.518,2.2,3.0,0.738,2.3,5.8,8.1,1.4,0.4,0.7,1.4,2.7,11.3,2023-24,3640308,3937357.1328000003
chuma okeke,3640308,2023,SF,24,ORL,27,8,19.2,1.6,4.5,0.352,1.0,3.2,0.302,0.6,1.3,0.472,0.459,0.6,0.8,0.762,1.0,2.6,3.6,1.4,0.7,0.4,0.6,1.5,4.7,2023-24,3640308,3937357.1328000003
amir coffey,3599743,2023,SG,25,LAC,50,9,12.5,1.1,2.9,0.386,0.2,0.8,0.275,0.9,2.1,0.429,0.424,1.0,1.3,0.778,0.3,0.7,1.1,1.1,0.1,0.1,0.4,1.0,3.4,2023-24,3599743,3893482.0288000004
tari eason,3561677,2023,PF,21,HOU,82,5,21.5,3.6,8.0,0.448,0.7,2.1,0.343,2.9,6.0,0.486,0.493,1.3,1.8,0.752,2.4,3.7,6.0,1.1,1.2,0.6,1.2,2.3,9.3,2023-24,3561677,3852309.8432000005
aleksej pokusevski,3458108,2023,PF,21,OKC,34,25,20.6,3.2,7.3,0.434,1.1,3.1,0.365,2.1,4.3,0.483,0.51,0.6,1.0,0.629,1.3,3.4,4.7,1.9,0.6,1.3,1.3,1.7,8.1,2023-24,3458108,3740289.6128000002
simone fontecchio,3398358,2023,SF,27,UTA,52,6,14.7,2.2,6.0,0.369,1.2,3.7,0.33,1.0,2.3,0.43,0.47,0.7,0.8,0.795,0.6,1.1,1.7,0.8,0.3,0.2,0.8,1.2,6.3,2023-24,3398358,3675664.0128000006
andre drummond,3392921,2023,C,29,CHI,67,0,12.7,2.5,4.1,0.606,0.0,0.0,0.0,2.5,4.0,0.613,0.606,1.0,1.9,0.536,2.1,4.6,6.6,0.5,0.7,0.4,1.1,1.7,6.0,2023-24,3392921,3669783.3536000005
dalen terry,3383803,2023,SG,20,CHI,38,0,5.6,0.8,1.9,0.444,0.2,0.7,0.259,0.7,1.2,0.556,0.493,0.4,0.6,0.667,0.3,0.7,1.0,0.6,0.3,0.1,0.2,0.6,2.2,2023-24,3383803,3659921.3248000005
sterling brown,3310857,2023,SG,27,LAL,4,0,6.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.8,1.3,2.0,0.5,0.8,0.0,0.0,1.0,0.0,2023-24,3310857,3581022.9312000005
josh green,3285196,2023,SG,22,DAL,60,21,25.7,3.4,6.4,0.537,1.1,2.8,0.402,2.3,3.6,0.643,0.626,1.1,1.6,0.723,0.9,2.1,3.0,1.7,0.7,0.1,1.2,2.6,9.1,2023-24,3285196,3553267.9936
jake laravia,3231376,2023,PF,21,MEM,35,0,11.8,1.1,2.7,0.389,0.7,2.0,0.338,0.4,0.7,0.542,0.516,0.2,0.3,0.778,0.5,1.3,1.8,0.6,0.3,0.1,0.5,1.4,3.0,2023-24,3231376,3495056.2816000003
tre mann,3229849,2023,PG,21,OKC,67,5,17.7,2.9,7.5,0.393,1.2,3.8,0.315,1.7,3.6,0.475,0.474,0.6,0.8,0.764,0.4,1.9,2.3,1.8,0.6,0.2,0.9,1.5,7.7,2023-24,3229849,3493404.6784000006
kevin knox,3180864,2023,PF-SF,23,POR,63,5,15.1,2.4,5.3,0.458,1.0,3.0,0.349,1.4,2.3,0.596,0.556,0.7,1.0,0.767,0.5,2.3,2.8,0.5,0.4,0.2,0.8,1.5,6.6,2023-24,3180864,3440422.5024000006
saddiq bey,3137477,2023,SF,23,ATL,77,37,27.6,4.6,10.9,0.422,2.0,5.4,0.361,2.6,5.4,0.483,0.513,2.7,3.1,0.861,1.3,3.4,4.7,1.5,0.9,0.2,0.9,1.6,13.8,2023-24,3137477,3393495.1232000003
malaki branham,3101978,2023,SF,19,SAS,66,32,23.5,4.1,9.3,0.44,1.2,3.9,0.302,2.9,5.4,0.539,0.503,0.9,1.1,0.829,0.4,2.3,2.7,1.9,0.5,0.1,1.2,1.7,10.2,2023-24,3101978,3355099.4048
joe wieskamp,3084654,2023,SF,23,TOR,9,0,5.6,0.3,1.6,0.214,0.3,1.3,0.25,0.0,0.2,0.0,0.321,0.0,0.0,0.0,0.0,0.4,0.4,0.3,0.0,0.0,0.1,0.3,1.0,2023-24,3084654,3336361.7664000005
kai jones,3084420,2023,C,22,CHO,46,0,12.0,1.5,2.6,0.558,0.1,0.4,0.211,1.4,2.2,0.624,0.575,0.4,0.6,0.731,0.8,1.9,2.7,0.3,0.4,0.7,0.7,1.4,3.4,2023-24,3084420,3336108.6720000003
blake griffin,3081038,2023,C,33,BOS,41,16,13.9,1.5,3.2,0.485,0.6,1.6,0.348,1.0,1.6,0.625,0.573,0.5,0.8,0.656,1.1,2.6,3.8,1.5,0.3,0.2,0.5,1.8,4.1,2023-24,3081038,3332450.7008
robin lopez,3081038,2023,C,34,CLE,37,2,8.1,1.3,2.0,0.64,0.1,0.1,0.5,1.2,1.9,0.648,0.653,0.4,0.5,0.778,0.6,0.8,1.4,0.5,0.1,0.2,0.7,1.2,3.0,2023-24,3081038,3332450.7008
markieff morris,3081038,2023,PF,33,DAL,35,2,10.1,1.3,3.3,0.409,0.8,2.0,0.394,0.5,1.3,0.432,0.53,0.3,0.3,1.0,0.4,1.7,2.0,0.9,0.3,0.1,0.5,1.4,3.8,2023-24,3081038,3332450.7008
andre iguodala,3081038,2023,SF,39,GSW,8,0,14.1,0.9,1.9,0.467,0.1,1.1,0.111,0.8,0.8,1.0,0.5,0.3,0.4,0.667,0.4,1.8,2.1,2.4,0.5,0.4,1.1,1.4,2.1,2023-24,3081038,3332450.7008
serge ibaka,3081038,2023,C,33,MIL,16,0,11.6,1.6,3.4,0.481,0.4,1.1,0.333,1.3,2.3,0.556,0.537,0.5,0.8,0.615,0.9,1.8,2.8,0.3,0.1,0.4,0.7,1.4,4.1,2023-24,3081038,3332450.7008
udonis haslem,3081038,2023,C,42,MIA,7,1,10.1,1.4,4.1,0.345,0.4,1.3,0.333,1.0,2.9,0.35,0.397,0.6,0.7,0.8,0.6,1.0,1.6,0.0,0.1,0.3,0.1,1.6,3.9,2023-24,3081038,3332450.7008
wesley matthews,3081038,2023,SG,36,MIL,52,0,15.8,1.1,3.1,0.363,0.8,2.4,0.315,0.4,0.7,0.528,0.484,0.5,0.5,0.857,0.7,1.5,2.2,0.7,0.4,0.3,0.3,1.4,3.4,2023-24,3081038,3332450.7008
austin rivers,3081038,2023,SG,30,MIN,52,10,19.5,1.8,4.0,0.435,0.8,2.4,0.35,0.9,1.7,0.558,0.538,0.6,0.8,0.769,0.1,1.5,1.6,1.4,0.5,0.1,0.4,1.5,4.9,2023-24,3081038,3332450.7008
bismack biyombo,3081038,2023,C,30,PHO,61,14,14.3,2.0,3.4,0.578,0.0,0.0,0.0,2.0,3.4,0.578,0.578,0.4,1.1,0.357,1.5,2.8,4.3,0.9,0.3,1.4,0.8,1.9,4.3,2023-24,3081038,3332450.7008
taj gibson,3081038,2023,C,37,WAS,49,2,9.8,1.3,2.6,0.52,0.2,0.5,0.333,1.2,2.1,0.564,0.552,0.6,0.9,0.714,0.7,1.2,1.9,0.7,0.3,0.2,0.5,1.7,3.4,2023-24,3081038,3332450.7008
precious achiuwa,3011387,2023,C,23,TOR,55,12,20.7,3.6,7.3,0.485,0.5,2.0,0.269,3.0,5.4,0.564,0.521,1.6,2.3,0.702,1.8,4.1,6.0,0.9,0.6,0.5,1.1,1.9,9.2,2023-24,3011387,3257116.1792
christian braun,2977924,2023,SG,21,DEN,76,6,15.5,1.9,3.8,0.495,0.4,1.3,0.354,1.4,2.5,0.565,0.554,0.5,0.8,0.625,0.6,1.8,2.4,0.8,0.5,0.2,0.5,1.3,4.7,2023-24,2977924,3220922.5984000005
jordan nwora,2968806,2023,SF,24,IND,62,14,19.2,3.1,7.2,0.436,1.4,3.4,0.408,1.7,3.8,0.462,0.533,1.1,1.4,0.791,0.8,2.9,3.7,1.4,0.4,0.2,1.1,1.2,8.7,2023-24,2968806,3211060.5696000005
jalen johnson,2961002,2023,SF,21,ATL,70,6,14.9,2.3,4.6,0.491,0.4,1.5,0.288,1.8,3.1,0.587,0.537,0.7,1.1,0.628,0.7,3.3,4.0,1.2,0.5,0.5,0.6,1.6,5.6,2023-24,2961002,3202619.7632000004
tyrese maxey,2891278,2023,SG,22,PHI,60,41,33.6,7.3,15.2,0.481,2.7,6.2,0.434,4.7,9.1,0.513,0.568,3.0,3.6,0.845,0.4,2.6,2.9,3.5,0.8,0.1,1.3,2.2,20.3,2023-24,2891278,3127206.2848000005
bruno fernando,2881217,2023,C,24,ATL,39,4,10.4,1.5,2.9,0.527,0.0,0.1,0.0,1.5,2.8,0.546,0.527,0.9,1.3,0.7,1.4,2.1,3.5,0.8,0.2,0.9,0.6,1.9,3.9,2023-24,2881217,3116324.3072
walker kessler,2858960,2023,C,21,UTA,74,40,23.0,4.0,5.6,0.72,0.0,0.0,0.333,4.0,5.6,0.723,0.721,1.1,2.1,0.516,3.1,5.3,8.4,0.9,0.4,2.3,0.8,2.3,9.2,2023-24,2858960,3092251.1360000004
keon johnson,2842674,2023,SG,20,POR,40,0,10.4,1.7,4.5,0.376,0.7,2.0,0.346,1.0,2.4,0.402,0.455,0.7,1.0,0.659,0.3,0.8,1.1,1.5,0.5,0.2,1.1,1.1,4.7,2023-24,2842674,3074636.1984
charles bassey,2835996,2023,C,22,SAS,35,2,14.5,2.5,3.9,0.644,0.1,0.2,0.375,2.4,3.6,0.661,0.656,0.6,1.1,0.595,2.1,3.4,5.5,1.3,0.5,0.9,1.2,2.1,5.7,2023-24,2835996,3067413.2736000004
matthew dellavedova,2787069,2023,PG,32,SAC,32,0,6.7,0.5,1.6,0.34,0.3,0.8,0.333,0.3,0.7,0.348,0.43,0.1,0.2,0.571,0.0,0.4,0.4,1.3,0.2,0.0,0.3,0.6,1.5,2023-24,2787069,3014493.8304000003
trey lyles,2783256,2023,PF,27,SAC,74,0,16.9,2.5,5.5,0.458,1.2,3.2,0.363,1.4,2.3,0.595,0.565,1.4,1.7,0.815,0.9,3.1,4.1,0.9,0.4,0.4,0.9,1.3,7.6,2023-24,2783256,3010369.6896
zeke nnaji,2775621,2023,PF,22,DEN,53,5,13.7,2.1,3.7,0.561,0.3,1.2,0.262,1.8,2.5,0.71,0.605,0.8,1.2,0.645,1.2,1.4,2.6,0.3,0.3,0.4,0.6,2.0,5.2,2023-24,2775621,3002111.6736000003
david roddy,2744703,2023,PF,21,MEM,70,4,18.0,2.6,6.0,0.429,0.9,3.0,0.307,1.6,3.0,0.553,0.506,0.6,0.9,0.631,0.7,2.0,2.8,0.8,0.4,0.3,0.8,1.5,6.7,2023-24,2744703,2968670.7648000005
isaiah jackson,2728926,2023,C,21,IND,63,12,16.5,2.8,5.0,0.563,0.0,0.2,0.143,2.8,4.8,0.582,0.566,1.5,2.3,0.651,1.8,2.7,4.5,0.8,0.5,1.5,0.8,2.4,7.2,2023-24,2728926,2951606.3616000004
marjon beauchamp,2635027,2023,SF,22,MIL,52,11,13.5,1.8,4.7,0.395,0.9,2.7,0.331,0.9,1.9,0.485,0.492,0.5,0.7,0.73,0.7,1.5,2.2,0.7,0.4,0.1,0.9,1.4,5.1,2023-24,2635027,2850045.2032000003
usman garuba,2620141,2023,PF,20,HOU,75,1,12.9,1.1,2.4,0.486,0.3,0.8,0.407,0.8,1.6,0.525,0.554,0.4,0.6,0.617,1.6,2.5,4.1,0.9,0.6,0.4,0.6,1.8,3.0,2023-24,2620141,2833944.5056000003
raul neto,2612008,2023,PG,30,CLE,48,1,10.5,1.2,2.3,0.518,0.3,0.9,0.286,0.9,1.4,0.662,0.573,0.6,0.7,0.912,0.2,0.8,1.0,1.6,0.4,0.1,0.5,1.0,3.3,2023-24,2612008,2825147.8528000005
frank kaminsky,2612008,2023,C,29,HOU,36,0,6.5,0.9,1.8,0.492,0.4,0.9,0.394,0.5,0.8,0.6,0.595,0.4,0.4,0.875,0.2,1.3,1.4,0.9,0.2,0.1,0.3,0.6,2.5,2023-24,2612008,2825147.8528000005
montrezl harrell,2612008,2023,C,29,PHI,57,7,11.9,2.2,3.7,0.598,0.0,0.1,0.0,2.2,3.6,0.616,0.598,1.2,1.8,0.693,1.2,1.6,2.8,0.6,0.3,0.4,0.6,1.3,5.6,2023-24,2612008,2825147.8528000005
blake wesley,2529295,2023,SG,19,SAS,37,1,18.1,1.9,5.8,0.321,0.5,1.4,0.385,1.3,4.4,0.301,0.367,0.7,1.2,0.591,0.3,1.9,2.2,2.7,0.7,0.1,1.8,1.8,5.0,2023-24,2529295,2735685.472
josh christopher,2515172,2023,SG,21,HOU,64,2,12.3,2.4,5.1,0.465,0.3,1.4,0.236,2.1,3.8,0.55,0.497,0.7,0.9,0.75,0.3,0.8,1.1,1.1,0.5,0.2,0.9,0.9,5.8,2023-24,2515172,2720410.0352000003
isaiah roby,2471192,2023,PF,24,SAS,42,2,11.3,1.6,3.7,0.432,0.4,1.4,0.3,1.2,2.3,0.516,0.49,0.5,1.0,0.488,0.5,2.0,2.5,0.9,0.4,0.2,0.7,1.3,4.1,2023-24,2471192,2672841.2672
lindy waters iii,2456555,2023,SG,25,OKC,41,0,13.0,1.7,4.3,0.393,1.4,4.0,0.358,0.3,0.4,0.75,0.556,0.4,0.5,0.8,0.4,1.4,1.8,0.7,0.3,0.3,0.2,1.0,5.2,2023-24,2456555,2657009.8880000003
immanuel quickley,2455881,2023,PG,23,NYK,81,21,28.9,5.2,11.6,0.448,2.1,5.6,0.37,3.1,6.0,0.521,0.537,2.5,3.1,0.819,0.7,3.4,4.2,3.4,1.0,0.2,1.2,2.0,14.9,2023-24,2455881,2656280.8896000003
john konchar,2438662,2023,SG,26,MEM,72,23,20.8,1.9,4.4,0.431,0.8,2.5,0.339,1.1,2.0,0.545,0.525,0.4,0.5,0.778,0.9,3.4,4.3,1.4,1.1,0.3,0.5,1.6,5.1,2023-24,2438662,2637656.8192000003
rodney mcgruder,2436950,2023,SG,31,DET,32,12,16.4,1.9,4.8,0.408,1.3,3.0,0.423,0.7,1.7,0.382,0.543,0.6,0.7,0.818,0.6,1.7,2.3,0.9,0.5,0.0,0.3,1.2,5.7,2023-24,2436950,2635805.12
bryn forbes,2436950,2023,SG,29,MIN,25,0,10.7,1.2,3.3,0.361,0.6,1.8,0.304,0.6,1.5,0.432,0.446,0.6,0.6,1.0,0.2,0.4,0.6,0.7,0.3,0.1,0.5,0.9,3.6,2023-24,2436950,2635805.12
damian jones,2436950,2023,C,27,UTA,41,1,11.6,1.3,2.1,0.64,0.2,0.4,0.588,1.1,1.7,0.652,0.698,0.5,0.7,0.759,1.0,2.0,3.0,0.4,0.2,0.5,0.6,1.3,3.5,2023-24,2436950,2635805.12
quentin grimes,2414275,2023,SG,22,NYK,71,66,29.9,4.0,8.5,0.468,2.2,5.7,0.386,1.8,2.7,0.641,0.599,1.1,1.4,0.796,0.7,2.5,3.2,2.1,0.7,0.4,1.0,2.5,11.3,2023-24,2414275,2611279.8400000003
saben lee,2403289,2023,PG,23,PHO,25,1,14.9,2.0,4.8,0.405,0.4,1.2,0.367,1.5,3.6,0.418,0.45,1.7,2.3,0.737,0.5,1.3,1.8,2.7,0.8,0.0,1.0,1.3,6.0,2023-24,2403289,2599397.3824000005
andrew nembhard,2379403,2023,SG,23,IND,75,63,27.6,3.8,8.6,0.441,1.2,3.5,0.35,2.6,5.1,0.504,0.512,0.7,0.8,0.79,0.5,2.2,2.7,4.5,0.9,0.2,1.7,2.4,9.5,2023-24,2379403,2573562.2848000005
payton pritchard,2374196,2023,PG,25,BOS,48,3,13.4,2.1,5.1,0.412,1.2,3.2,0.364,0.9,1.9,0.495,0.527,0.3,0.3,0.75,0.5,1.3,1.8,1.3,0.3,0.0,0.8,0.8,5.6,2023-24,2374196,2567930.3936
bones hyland,2334245,2023,PG,22,LAC,56,1,19.4,4.1,10.2,0.399,2.1,5.6,0.371,2.0,4.6,0.434,0.502,1.5,1.8,0.843,0.4,2.1,2.4,3.1,0.7,0.3,1.5,1.7,11.8,2023-24,2334245,2524719.3920000005
bol bol,2332633,2023,PF,23,ORL,70,33,21.5,3.7,6.8,0.546,0.4,1.6,0.265,3.3,5.2,0.633,0.577,1.2,1.5,0.759,1.0,4.8,5.8,1.0,0.4,1.2,1.6,1.3,9.1,2023-24,2332633,2522975.8528000005
peyton watson,2326229,2023,SG,20,DEN,23,2,8.1,1.3,2.6,0.492,0.3,0.6,0.429,1.0,2.0,0.511,0.542,0.5,0.9,0.55,0.3,1.3,1.6,0.5,0.1,0.5,0.3,0.6,3.3,2023-24,2326229,2516049.2864
udoka azubuike,2305999,2023,C,23,UTA,36,4,10.0,1.6,2.0,0.819,0.0,0.0,0.0,1.6,2.0,0.819,0.819,0.2,0.6,0.35,0.9,2.4,3.3,0.3,0.2,0.4,0.5,0.9,3.5,2023-24,2305999,2494168.5184000004
jaden mcdaniels,2291748,2023,SF,22,MIN,79,79,30.6,4.7,9.1,0.517,1.4,3.4,0.398,3.3,5.7,0.588,0.591,1.3,1.8,0.736,1.2,2.7,3.9,1.9,0.9,1.0,1.4,3.4,12.1,2023-24,2291748,2478754.6368000004
jordan mclaughlin,2290222,2023,PG,26,MIN,43,0,15.8,1.4,3.4,0.421,0.6,1.8,0.308,0.9,1.6,0.552,0.503,0.3,0.4,0.833,0.3,1.1,1.4,3.4,0.7,0.1,0.8,0.7,3.7,2023-24,2290222,2477104.1152000003
malachi flynn,2275081,2023,PG,24,TOR,53,2,13.0,1.6,4.6,0.36,0.9,2.5,0.353,0.8,2.1,0.367,0.457,0.5,0.6,0.758,0.3,1.2,1.4,1.3,0.4,0.1,0.5,1.2,4.6,2023-24,2275081,2460727.6096
cam thomas,2267065,2023,SG,21,BRK,57,4,16.6,3.5,8.0,0.441,0.9,2.3,0.383,2.6,5.7,0.464,0.497,2.6,3.1,0.868,0.1,1.5,1.7,1.4,0.4,0.1,1.1,1.0,10.6,2023-24,2267065,2452057.504
luke kornet,2261889,2023,C,27,BOS,69,0,11.7,1.6,2.5,0.665,0.0,0.2,0.231,1.6,2.3,0.701,0.674,0.5,0.6,0.821,1.2,1.6,2.9,0.8,0.2,0.7,0.4,1.2,3.8,2023-24,2261889,2446459.1424000002
damion lee,2261889,2023,SG,30,PHO,74,5,20.4,2.7,6.1,0.442,1.5,3.3,0.445,1.2,2.8,0.439,0.564,1.3,1.4,0.904,0.5,2.5,3.0,1.3,0.4,0.1,1.1,1.6,8.2,2023-24,2261889,2446459.1424000002
juan toscano-anderson,2261889,2023,SF,29,UTA,52,9,13.5,1.2,2.8,0.448,0.2,0.8,0.186,1.1,1.9,0.56,0.476,0.4,0.5,0.792,0.5,1.8,2.4,1.3,0.3,0.2,0.7,1.5,3.0,2023-24,2261889,2446459.1424000002
