PLAYER,TEAM,GP,W,L,MIN,PTS,Pull Up FGM,Pull Up FGA,Pull Up FG%,Pull Up 3PM,Pull Up 3PA,Pull Up 3P%,Pull Up eFG%,FGM,FGA,FG%,3PM,3PA,3P%,Freq%
Anthony Edwards,MIN,79,48,31,36.3,11.3,4.2,11.2,37.8,2.9,7.6,38.5,50.9,9.1,20.4,44.7,4.1,10.3,39.5,0.55
Christian Braun,DEN,79,48,31,33.9,1.2,0.5,1.1,43.2,0.2,0.5,43.6,52.8,6.0,10.4,58.0,1.1,2.8,39.7,0.11
James Harden,LAC,79,50,29,35.3,8.9,3.3,9.4,35.2,2.3,6.9,33.8,47.6,6.7,16.4,41.0,3.0,8.5,35.2,0.57
Keon Johnson,BKN,79,25,54,24.4,1.1,0.4,1.7,25.9,0.2,1.1,20.5,32.6,3.8,9.9,38.9,1.6,5.1,31.4,0.17
Scotty Pippen Jr.,MEM,79,46,33,21.3,0.6,0.3,0.9,31.5,0.1,0.3,19.2,34.9,3.6,7.5,48.0,1.1,2.8,39.7,0.12
Spencer Dinwiddie,DAL,79,37,42,27.0,3.6,1.4,3.7,38.6,0.8,2.3,33.7,49.0,3.6,8.6,41.6,1.4,4.1,33.4,0.43
T.J. McConnell,IND,79,49,30,17.9,2.7,1.3,2.8,46.6,0.1,0.2,29.4,47.8,4.1,7.9,51.9,0.2,0.6,30.6,0.35
Keon Ellis,SAC,80,39,41,24.4,1.2,0.4,1.2,37.6,0.3,0.7,40.0,49.5,2.8,5.8,48.9,1.7,4.0,43.3,0.21
Payton Pritchard,BOS,80,59,21,28.4,3.9,1.5,3.8,39.0,1.0,2.9,34.8,52.3,5.1,10.8,47.2,3.2,7.8,40.7,0.35
Stephon Castle,SAS,81,33,48,26.7,2.2,1.0,3.2,29.7,0.3,1.4,25.2,35.1,5.2,12.2,42.8,1.2,4.1,28.5,0.26
Tyus Jones,PHX,81,36,45,26.8,2.2,0.9,2.4,39.4,0.3,0.8,33.8,45.3,3.8,8.4,44.8,2.0,5.0,41.4,0.29
Bub Carrington,WAS,82,18,64,30.0,4.6,1.9,4.5,42.0,0.8,2.4,35.4,51.3,3.7,9.1,40.1,1.7,5.0,33.9,0.49
Buddy Hield,GSW,82,48,34,22.7,2.4,0.9,2.7,32.1,0.6,2.0,31.9,43.8,4.0,9.6,41.7,2.5,6.7,37.0,0.28
Chris Paul,SAS,82,34,48,28.0,5.4,2.1,5.1,42.4,1.1,2.9,37.0,52.9,3.0,7.1,42.7,1.7,4.5,37.7,0.72
Jalen Green,HOU,82,52,30,32.9,6.6,2.5,7.8,32.7,1.5,4.8,31.6,42.4,7.4,17.5,42.3,2.9,8.1,35.4,0.45
Malik Beasley,DET,82,44,38,27.8,3.8,1.5,3.9,37.2,0.9,2.3,37.0,48.1,5.6,13.1,43.0,3.9,9.3,41.6,0.30
Mikal Bridges,NYK,82,51,31,37.0,4.3,2.0,4.6,44.7,0.2,0.7,25.9,46.7,7.2,14.4,50.0,2.0,5.6,35.4,0.32
Nickeil Alexander-Walker,MIN,82,49,33,25.3,1.3,0.6,1.8,31.7,0.2,0.9,21.1,37.2,3.3,7.5,43.8,1.7,4.5,38.1,0.24
