Season,Team,Returning_Minutes_Top8_Pct,Star_Weighted_Continuity,New_Players_Top8,Returning_Minutes_FullRoster_Pct,Total_Prev_Minutes_Top8,Total_Prev_Minutes_FullRoster
2019-20,Atlanta Hawks,76.72,77.13,17,28.42,138.3,613.7
2019-20,Boston Celtics,59.45,58.21,12,27.04,208.9,566.1
2019-20,Brooklyn Nets,59.54,59.0,20,24.49,186.6,602.7
2019-20,Charlotte Hornets,61.09,59.18,11,37.06,204.3,569.1
2019-20,Chicago Bulls,64.03,64.96,12,31.16,232.7,743.0
2019-20,Cleveland Cavaliers,43.2,43.96,18,30.63,189.6,764.9
2019-20,Dallas Mavericks,77.04,77.48,13,35.14,183.8,652.3
2019-20,Denver Nuggets,98.19,98.33,14,46.67,182.0,555.6
2019-20,Detroit Pistons,52.74,55.08,19,31.95,182.8,607.8
2019-20,Golden State Warriors,38.38,38.81,19,17.97,217.8,568.1
2019-20,Houston Rockets,67.21,68.48,17,31.2,202.8,674.7
2019-20,Indiana Pacers,40.74,41.32,14,24.64,209.4,561.2
2019-20,Los Angeles Clippers,61.46,60.5,15,25.3,195.4,651.1
2019-20,Los Angeles Lakers,72.93,73.9,15,24.68,187.3,674.3
2019-20,Memphis Grizzlies,37.98,36.47,18,18.18,220.1,825.2
2019-20,Miami Heat,47.55,47.23,17,31.46,200.0,596.9
2019-20,Milwaukee Bucks,84.18,84.85,11,36.08,193.4,644.6
2019-20,Minnesota Timberwolves,50.25,51.13,20,27.59,221.9,677.1
2019-20,New Orleans Pelicans,34.01,33.94,14,18.42,221.1,662.2
2019-20,New York Knicks,22.39,22.39,15,23.47,189.8,729.5
2019-20,Oklahoma City Thunder,36.45,34.4,15,24.02,209.6,548.3
2019-20,Orlando Magic,97.95,98.05,12,45.56,194.7,557.7
2019-20,Philadelphia 76ers,43.9,45.45,16,25.97,234.4,781.8
2019-20,Phoenix Suns,72.71,72.82,14,24.24,214.4,717.8
2019-20,Portland Trail Blazers,57.77,59.38,16,29.04,209.8,579.9
2019-20,Sacramento Kings,72.43,72.48,18,37.16,178.1,614.3
2019-20,San Antonio Spurs,89.76,90.17,11,43.24,209.9,527.7
2019-20,Toronto Raptors,64.52,64.02,13,33.08,225.5,635.4
2019-20,Utah Jazz,48.06,49.88,17,27.43,201.4,560.4
2019-20,Washington Wizards,32.61,33.86,20,14.03,193.2,740.5
2020-21,Atlanta Hawks,46.66,48.2,15,28.45,173.8,646.4
2020-21,Boston Celtics,77.01,77.51,15,43.54,219.2,562.7
2020-21,Brooklyn Nets,97.12,97.21,20,43.91,208.0,695.5
2020-21,Charlotte Hornets,80.62,80.91,11,42.53,164.1,585.2
2020-21,Chicago Bulls,77.22,77.23,17,51.92,172.1,583.2
2020-21,Cleveland Cavaliers,70.18,70.63,20,36.3,135.5,605.0
2020-21,Dallas Mavericks,89.78,90.02,12,39.67,210.4,605.8
2020-21,Denver Nuggets,85.68,86.23,16,36.32,187.2,611.2
2020-21,Detroit Pistons,41.58,40.7,18,14.02,185.2,690.3
2020-21,Golden State Warriors,62.35,62.44,13,35.55,223.1,737.3
2020-21,Houston Rockets,45.4,46.76,27,24.45,222.9,649.2
2020-21,Indiana Pacers,100.0,100.0,12,54.2,219.8,579.9
2020-21,Los Angeles Clippers,72.37,73.57,15,36.25,187.1,611.6
2020-21,Los Angeles Lakers,66.9,68.67,14,33.35,182.2,594.3
2020-21,Memphis Grizzlies,84.92,84.8,11,39.59,194.9,613.1
2020-21,Miami Heat,76.39,77.07,15,41.8,216.0,657.6
2020-21,Milwaukee Bucks,63.82,65.7,17,25.63,201.5,565.4
2020-21,Minnesota Timberwolves,42.51,43.11,13,33.65,203.0,739.4
2020-21,New Orleans Pelicans,64.73,64.04,16,34.93,211.8,605.7
