Season,Team,Games_Missed_Top8,Star_Weighted_Games_Missed_Top8,Injury_Prone_Count,Top_Player_Games
2019-20,San Antonio Spurs,54.0,68.94272169174684,7,71
2019-20,Toronto Raptors,112.0,147.8540085197676,10,72
2019-20,Utah Jazz,72.0,93.06554234741328,12,72
2019-20,Washington Wizards,142.0,179.93227136071488,18,72
2020-21,Atlanta Hawks,153.0,195.25802151834893,13,72
2020-21,Boston Celtics,179.0,232.8331885963244,15,72
2020-21,Brooklyn Nets,218.0,289.67605784591296,20,72
2020-21,Charlotte Hornets,107.0,137.61635522756757,11,72
2020-21,Chicago Bulls,150.0,195.54765788108784,15,72
2020-21,Cleveland Cavaliers,153.0,194.1041041586175,20,72
2020-21,Dallas Mavericks,88.0,114.72756846749591,11,72
2020-21,Denver Nuggets,208.0,260.17203708137424,16,72
2020-21,Detroit Pistons,223.0,280.21855791794223,15,72
2020-21,Golden State Warriors,93.0,117.21269777142842,9,72
2020-21,Houston Rockets,337.0,439.1543528389623,29,72
2020-21,Indiana Pacers,219.0,277.95224792203726,13,72
2020-21,Los Angeles Clippers,129.0,172.60950724287463,13,72
2020-21,Los Angeles Lakers,137.0,184.1489307676468,11,72
2020-21,Memphis Grizzlies,123.0,156.93436183189095,10,72
2020-21,Miami Heat,172.0,223.3213195345596,15,72
2020-21,Milwaukee Bucks,178.0,224.89673073731183,13,72
2020-21,Minnesota Timberwolves,113.0,144.34297339972247,10,72
2020-21,New Orleans Pelicans,129.0,164.3331935884861,14,72
2020-21,New York Knicks,117.0,149.4578437079678,12,72
2020-21,Oklahoma City Thunder,210.0,261.4924275919129,18,72
2020-21,Orlando Magic,300.0,375.5921436873873,27,72
2020-21,Philadelphia 76ers,79.0,106.79010837323256,14,72
2020-21,Phoenix Suns,74.0,94.78985397117548,9,72
2020-21,Portland Trail Blazers,111.0,143.51791268757975,11,72
2020-21,Sacramento Kings,128.0,165.86297465151966,19,72
2020-21,San Antonio Spurs,121.0,154.24099300807043,9,72
2020-21,Toronto Raptors,229.0,290.9479531149079,18,72
2020-21,Utah Jazz,51.0,70.06155322847218,9,72
2020-21,Washington Wizards,137.0,173.5714216078699,12,72
2021-22,Atlanta Hawks,177.0,224.66090654767623,18,82
2021-22,Boston Celtics,156.0,206.8978777154485,22,82
2021-22,Brooklyn Nets,316.0,410.26214273758217,21,82
2021-22,Charlotte Hornets,85.0,109.89398244628848,12,82
2021-22,Chicago Bulls,144.0,186.47526528164428,16,82
2021-22,Cleveland Cavaliers,223.0,285.4498239427388,20,82
2021-22,Dallas Mavericks,183.0,244.4590961425008,21,82
2021-22,Denver Nuggets,128.0,161.36462000771377,13,82
2021-22,Detroit Pistons,223.0,276.3876895986474,22,82
2021-22,Golden State Warriors,138.0,184.8143484433182,7,82
2021-22,Houston Rockets,163.0,199.6133445636264,12,82
2021-22,Indiana Pacers,309.0,405.446693101191,27,82
2021-22,Los Angeles Clippers,204.0,259.58325840561383,17,82
2021-22,Los Angeles Lakers,191.0,246.85360468500423,22,82
2021-22,Memphis Grizzlies,120.0,156.182172307656,15,82
2021-22,Miami Heat,114.0,154.82071546674013,15,82
2021-22,Milwaukee Bucks,117.0,157.61247029796527,23,82
2021-22,Minnesota Timberwolves,82.0,108.68224198135869,10,82
2021-22,New Orleans Pelicans,174.0,226.5827150914842,18,82
2021-22,New York Knicks,136.0,171.2059295845038,16,82
2021-22,Oklahoma City Thunder,395.0,488.31514326360514,25,82
2021-22,Orlando Magic,183.0,225.4423649777284,15,82
2021-22,Philadelphia 76ers,150.0,204.86164314319828,17,82
2021-22,Phoenix Suns,110.0,148.15758290541865,16,82
2021-22,Portland Trail Blazers,329.0,422.9783738741346,26,82
2021-22,Sacramento Kings,217.0,283.4248770788225,24,82
2021-22,San Antonio Spurs,171.0,220.9098999339848,18,82
2021-22,Toronto Raptors,175.0,226.1308550231356,16,82
2021-22,Utah Jazz,99.0,132.60208295195997,17,82
2021-22,Washington Wizards,283.0,369.6382134090125,23,82
2022-23,Atlanta Hawks,145.0,186.84220996521563,11,82
2022-23,Boston Celtics,81.0,108.5094869894376,10,82
2022-23,Brooklyn Nets,340.0,455.6357367128836,22,82
2022-23,Charlotte Hornets,192.0,245.51484277615629,15,82
2022-23,Chicago Bulls,90.0,116.99740582042298,9,82
2022-23,Cleveland Cavaliers,96.0,127.4087564508107,11,82
2022-23,Dallas Mavericks,179.0,242.8403663240377,18,82
2022-23,Denver Nuggets,138.0,180.74584877773003,12,82
2022-23,Detroit Pistons,227.0,280.3018316376987,19,82
2022-23,Golden State Warriors,103.0,136.93160134142826,11,82
2022-23,Houston Rockets,125.0,154.050563054807,11,82
2022-23,Indiana Pacers,126.0,161.43126032760603,12,82
2022-23,Los Angeles Clippers,192.0,251.3978321517798,17,82
2022-23,Los Angeles Lakers,219.0,293.0541086959302,20,82
2022-23,Memphis Grizzlies,252.0,324.78658774871843,13,82
2022-23,Miami Heat,120.0,159.46644957521093,14,82
2022-23,Milwaukee Bucks,130.0,173.19564486632743,15,82
2022-23,Minnesota Timberwolves,170.0,225.0917429981456,14,82
2022-23,New Orleans Pelicans,124.0,164.23681628059265,11,82
2022-23,New York Knicks,120.0,159.21760495178813,9,82
2022-23,Oklahoma City Thunder,121.0,156.2273943021606,12,82
2022-23,Orlando Magic,144.0,182.68118736286937,17,82
2022-23,Philadelphia 76ers,163.0,214.5409605761649,14,82
2022-23,Phoenix Suns,235.0,322.4360143901562,15,82
2022-23,Portland Trail Blazers,292.0,369.5890458040009,21,82
2022-23,Sacramento Kings,28.0,37.68724535304229,10,82
2022-23,San Antonio Spurs,241.0,305.6003077012566,17,82
2022-23,Toronto Raptors,143.0,192.119677767428,14,82
2022-23,Utah Jazz,207.0,265.91224429904446,19,82
2022-23,Washington Wizards,133.0,172.80410043422316,18,82
2023-24,Atlanta Hawks,114.0,147.14440721692628,14,82
2023-24,Boston Celtics,84.0,115.34801922573575,11,82
2023-24,Brooklyn Nets,152.0,192.55448180900967,16,82
2023-24,Charlotte Hornets,297.0,373.1168727524261,22,82
2023-24,Chicago Bulls,125.0,157.2531007514614,11,82
2023-24,Cleveland Cavaliers,128.0,171.47340735956124,13,82
2023-24,Dallas Mavericks,158.0,205.92817019029985,17,82
2023-24,Denver Nuggets,42.0,57.49059020940311,10,82
2023-24,Detroit Pistons,270.0,333.47342273734347,27,82
2023-24,Golden State Warriors,91.0,119.69108667950464,9,82
2023-24,Houston Rockets,124.0,158.4609549612477,9,82
2023-24,Indiana Pacers,171.0,220.02909483333272,16,82
2023-24,Los Angeles Clippers,138.0,179.80864452531858,13,82
2023-24,Los Angeles Lakers,95.0,123.83956125644814,13,82
2023-24,Memphis Grizzlies,307.0,386.6979370124418,32,82
2023-24,Miami Heat,190.0,247.46359491572832,16,82
2023-24,Milwaukee Bucks,83.0,109.30808987887497,15,82
2023-24,Minnesota Timberwolves,46.0,61.0167289039066,12,82
2023-24,New Orleans Pelicans,98.0,129.96456306256124,13,82
2023-24,New York Knicks,165.0,211.63957850179105,21,82
2023-24,Oklahoma City Thunder,27.0,37.13209421707286,12,82
2023-24,Orlando Magic,114.0,145.14964335653443,11,82
2023-24,Philadelphia 76ers,209.0,276.5633464102613,24,82
2023-24,Phoenix Suns,129.0,169.18881119037906,16,82
2023-24,Portland Trail Blazers,256.0,315.80417652098106,18,82
2023-24,Sacramento Kings,65.0,84.09409942777441,13,82
2023-24,San Antonio Spurs,71.0,89.07916852832533,11,82
2023-24,Toronto Raptors,256.0,331.8233663495405,29,82
2023-24,Utah Jazz,173.0,219.041096746352,16,82
2023-24,Washington Wizards,97.0,123.45604934559825,18,82
2024-25,Atlanta Hawks,248.0,317.0716533236338,17,82
2024-25,Boston Celtics,119.0,162.14764992936952,12,82
2024-25,Brooklyn Nets,364.0,454.4975407467493,20,82
2024-25,Charlotte Hornets,269.0,338.0506640985786,23,82
2024-25,Chicago Bulls,225.0,286.7734937894454,14,82
2024-25,Cleveland Cavaliers,160.0,210.1374988688364,15,82
2024-25,Dallas Mavericks,263.0,355.6766937540695,21,82
2024-25,Denver Nuggets,87.0,116.4057680028446,10,82
2024-25,Detroit Pistons,136.0,172.94588285845424,13,82
2024-25,Golden State Warriors,228.0,299.98917361151337,17,82
2024-25,Houston Rockets,98.0,128.98568172095446,14,82
2024-25,Indiana Pacers,90.0,116.1585650467202,13,82
2024-25,Los Angeles Clippers,139.0,179.4624834910024,17,82
2024-25,Los Angeles Lakers,230.0,310.942143675844,20,82
2024-25,Memphis Grizzlies,106.0,140.21005940135336,12,82
2024-25,Miami Heat,237.0,307.06964214159063,14,82
2024-25,Milwaukee Bucks,133.0,172.57104002844162,17,82
2024-25,Minnesota Timberwolves,48.0,64.30926857980225,13,82
2024-25,New Orleans Pelicans,293.0,364.86911715077576,23,82
2024-25,New York Knicks,83.0,109.91097555567018,14,82
2024-25,Oklahoma City Thunder,125.0,169.1963362491559,12,82
2024-25,Orlando Magic,136.0,176.9766572741539,10,82
2024-25,Philadelphia 76ers,273.0,344.87732024383274,28,82
2024-25,Phoenix Suns,139.0,178.72554496696222,14,82
2024-25,Portland Trail Blazers,129.0,162.6301458113596,11,82
2024-25,Sacramento Kings,129.0,169.7229662318387,19,82
2024-25,San Antonio Spurs,148.0,195.88028188568995,15,82
2024-25,Toronto Raptors,232.0,291.71625600412494,19,82
2024-25,Utah Jazz,191.0,238.82001539385547,14,82
2024-25,Washington Wizards,176.0,207.5494425030531,20,82
2025-26,Atlanta Hawks,0.0,0.0,0,0
2025-26,Boston Celtics,0.0,0.0,0,0
2025-26,Brooklyn Nets,30.0,37.10348424295757,1,0
2025-26,Charlotte Hornets,0.0,0.0,0,0
2025-26,Chicago Bulls,0.0,0.0,0,0
2025-26,Cleveland Cavaliers,0.0,0.0,0,0
2025-26,Dallas Mavericks,0.0,0.0,0,0
2025-26,Denver Nuggets,0.0,0.0,0,0
2025-26,Detroit Pistons,0.0,0.0,0,0
2025-26,Golden State Warriors,0.0,0.0,0,0
2025-26,Houston Rockets,0.0,0.0,0,0
2025-26,Indiana Pacers,0.0,0.0,0,0
2025-26,Los Angeles Clippers,0.0,0.0,0,0
2025-26,Los Angeles Lakers,0.0,0.0,0,0
2025-26,Memphis Grizzlies,0.0,0.0,0,0
2025-26,Miami Heat,0.0,0.0,0,0
2025-26,Milwaukee Bucks,0.0,0.0,0,0
2025-26,Minnesota Timberwolves,0.0,0.0,0,0
2025-26,New Orleans Pelicans,0.0,0.0,0,0
2025-26,New York Knicks,0.0,0.0,0,0
2025-26,Oklahoma City Thunder,0.0,0.0,0,0
2025-26,Orlando Magic,0.0,0.0,0,0
2025-26,Philadelphia 76ers,0.0,0.0,0,0
2025-26,Phoenix Suns,0.0,0.0,0,0
2025-26,Portland Trail Blazers,0.0,0.0,0,0
2025-26,Sacramento Kings,0.0,0.0,0,0
2025-26,San Antonio Spurs,0.0,0.0,0,0
2025-26,Toronto Raptors,0.0,0.0,0,0
2025-26,Utah Jazz,0.0,0.0,0,0
2025-26,Washington Wizards,0.0,0.0,0,0
