ENTRY,Season,Player,Age,Team(s),LEBRON WAR,LEBRON,O-LEBRON,D-LEBRON
111,2014-15,Gerald Henderson,27,CHO,2.87,-0.44,-0.85,0.41
112,2014-15,Tyler Hansbrough,29,TOR,1.3,-0.46,-1.02,0.56
113,2014-15,James Johnson,27,TOR,3.58,1.56,0.56,1
114,2014-15,Jrue Holiday,24,NOP,3.05,1.16,1.22,-0.06
115,2014-15,Ty Lawson,27,DEN,7.18,1.68,2.59,-0.9
116,2014-15,Jeff Teague,26,ATL,7.5,2.68,2.24,0.44
117,2014-15,Darren Collison,27,SAC,3.28,0.81,0.72,0.09
118,2014-15,Omri Casspi,26,SAC,0.64,-1.59,-0.54,-1.05
119,2014-15,Taj Gibson,29,CHI,2.33,-0.24,-0.87,0.63
120,2014-15,DeMarre Carroll,28,ATL,5.9,1.68,0.92,0.76
121,2014-15,Wayne Ellington,27,LAL,1.48,-0.96,0.04,-0.99
122,2014-15,Dante Cunningham,27,NOP,-0.04,-2.29,-2.23,-0.07
123,2014-15,Jonas Jerebko,27,DET/BOS,2.59,0.82,0.12,0.7
124,2014-15,Jodie Meeks,27,DET,0.84,-1.41,-0.03,-1.38
125,2014-15,Patrick Beverley,26,HOU,2.67,0.01,-0.09,0.1
126,2014-15,Marcus Thornton,27,BOS/PHO,0.82,-0.59,0.65,-1.24
127,2014-15,Chase Budinger,26,MIN,0,-2.26,-1.09,-1.16
128,2014-15,Nick Calathes,25,MEM,2.15,1.5,-0.24,1.74
129,2014-15,Danny Green,27,SAS,8.25,2.99,1.14,1.84
130,2014-15,Patty Mills,26,SAS,1.59,0.64,1.4,-0.76
131,2014-15,Garrett Temple,28,WAS,0.86,-0.55,-1.31,0.76
132,2014-15,Wesley Matthews,28,POR,5.41,1.65,1.13,0.52
133,2014-15,Alonzo Gee,27,DEN/POR,0.25,-1.7,-1,-0.71
134,2014-15,John Wall,24,WAS,10.78,3.33,2.38,0.96
135,2014-15,Evan Turner,26,BOS,3.04,-0.29,-0.44,0.15
136,2014-15,Derrick Favors,23,UTA,6.63,2,0.37,1.63
137,2014-15,Wesley Johnson,27,LAL,1.15,-1.5,-0.93,-0.57
138,2014-15,DeMarcus Cousins,24,SAC,6.83,2.72,0.99,1.73
139,2014-15,Greg Monroe,24,DET,6.02,1.87,0.87,1
140,2014-15,Al-Farouq Aminu,24,DAL,3.87,1.88,0.5,1.39
141,2014-15,Gordon Hayward,24,UTA,8.98,2.78,2.15,0.63
142,2014-15,Cole Aldrich,26,NYK,1.59,0.12,-1.42,1.54
143,2014-15,Ed Davis,25,LAL,2.72,-0.09,-0.23,0.14
144,2014-15,Patrick Patterson,25,TOR,5.03,1.15,1.71,-0.55
145,2014-15,Larry Sanders,26,MIL,1.38,1.2,-1.22,2.42
146,2014-15,Luke Babbitt,25,NOP,-0.66,-3.45,-2.13,-1.33
147,2014-15,Kevin Seraphin,25,WAS,-0.27,-2.59,-2.63,0.05
148,2014-15,Eric Bledsoe,25,PHO,7.53,1.68,0.87,0.81
