Season,Team,Returning_Minutes_Pct,Star_Weighted_Continuity,New_Players_Count,Total_Prev_Minutes
2020-21,Boston Celtics,65.79,66.51,9,12537.0
2020-21,Brooklyn Nets,54.36,54.45,14,11054.0
2020-21,Charlotte Hornets,95.66,95.72,9,8633.0
2020-21,Chicago Bulls,47.81,48.56,10,7482.0
2020-21,Cleveland Cavaliers,62.9,63.92,12,5288.0
2020-21,Dallas Mavericks,77.8,78.59,9,14169.0
2020-21,Denver Nuggets,77.79,78.86,8,12772.0
2020-21,Detroit Pistons,0.0,0.0,13,7373.0
2020-21,Golden State Warriors,98.12,98.18,10,4475.0
2020-21,Houston Rockets,15.56,14.91,15,12295.0
2020-21,Indiana Pacers,100.0,100.0,10,13668.0
2020-21,Los Angeles Clippers,54.47,56.66,11,10896.0
2020-21,Los Angeles Lakers,64.2,66.22,10,11516.0
2020-21,Memphis Grizzlies,100.0,100.0,9,10751.0
2020-21,Miami Heat,77.6,78.59,9,11940.0
2020-21,Milwaukee Bucks,64.72,66.57,10,12902.0
2020-21,Minnesota Timberwolves,92.36,92.51,9,6476.0
2020-21,New Orleans Pelicans,52.08,51.65,12,11285.0
2020-21,New York Knicks,86.97,87.52,9,7413.0
2020-21,Oklahoma City Thunder,25.14,24.78,15,11935.0
2020-21,Orlando Magic,44.18,42.54,11,12667.0
2020-21,Philadelphia 76ers,67.8,68.78,13,12517.0
2020-21,Phoenix Suns,63.99,63.65,10,13560.0
2020-21,Portland Trail Blazers,55.13,56.25,11,9583.0
2020-21,Sacramento Kings,57.69,57.59,10,13129.0
2020-21,San Antonio Spurs,86.32,86.22,8,12822.0
2020-21,Toronto Raptors,70.57,71.6,10,12783.0
2020-21,Utah Jazz,95.24,95.42,9,13915.0
2020-21,Washington Wizards,89.06,89.36,9,9035.0
2021-22,Atlanta Hawks,100.0,100.0,11,11471.0
2021-22,Boston Celtics,69.35,70.28,11,9885.0
2021-22,Brooklyn Nets,68.85,70.15,9,10499.0
2021-22,Charlotte Hornets,77.43,77.15,10,11925.0
2021-22,Chicago Bulls,26.28,27.27,16,7930.0
2021-22,Cleveland Cavaliers,77.22,76.99,15,5760.0
2021-22,Dallas Mavericks,68.7,69.74,13,12854.0
2021-22,Denver Nuggets,77.45,78.0,11,12711.0
2021-22,Detroit Pistons,65.89,65.71,17,8378.0
2021-22,Golden State Warriors,88.12,88.81,9,11218.0
2021-22,Houston Rockets,73.15,73.53,9,6612.0
2021-22,Indiana Pacers,54.73,55.07,9,11440.0
2021-22,Los Angeles Clippers,69.39,68.51,8,11632.0
