PLAYER,TEAM,GP,Poss,Freq%,PPP,PTS,FGM,FGA,FG%,eFG%,"FTFreq%","TOVFreq%","SFFreq%","And OneFreq%","ScoreFreq%",Percentile
Danté Exum,DAL,55,1,15,0.72,0.7,0.3,0.8,38.1,40.5,8.8,17.5,8.8,0,36.8,22.5
Josh Green,DAL,57,0.4,5.4,0.72,0.3,0.1,0.2,50,53.6,12,32,12,0,36,22.9
Seth Curry,DAL,36,0.5,11,0.78,0.4,0.2,0.5,35.3,38.2,5.6,5.6,5.6,5.6,33.3,32.4
Derrick Jones Jr.,DAL,76,0.1,1.6,1,0.1,0,0.1,50,50,40,30,40,10,50,86.6
Jamal Murray,DEN,59,7,34.9,1.02,7.1,2.8,5.8,48.5,54.7,6.8,12.1,6.3,1.9,45.1,88.6
Reggie Jackson,DEN,82,4.2,38,0.83,3.5,1.4,3.5,41.5,46,4.9,13.7,4.1,1.2,38.1,46.9
Nikola Jokić,DEN,79,1.2,5.3,0.9,1.1,0.3,0.8,39.4,48.5,13.4,20.6,9.3,2.1,38.1,60.6
Christian Braun,DEN,82,0.7,10.2,0.89,0.7,0.3,0.6,42,49,8.2,13.1,8.2,3.3,39.3,59.6
Kentavious Caldwell-Pope,DEN,76,0.8,8.6,0.77,0.6,0.2,0.6,37,40.2,8.3,16.7,8.3,1.7,35,30.7
Michael Porter Jr.,DEN,81,0.5,3.4,0.85,0.4,0.2,0.5,40.5,47.3,0,9.8,0,0,36.6,50.5
Aaron Gordon,DEN,73,0.6,4.9,0.61,0.4,0.2,0.5,31.4,35.7,6.5,19.6,6.5,2.2,28.3,12.1
Peyton Watson,DEN,80,0.3,4,0.77,0.2,0.1,0.2,40,40,13.6,18.2,13.6,0,40.9,31.9
Julian Strawther,DEN,50,0.4,8.5,0.68,0.3,0.1,0.3,35.3,38.2,9.1,18.2,9.1,4.5,31.8,19.3
Cade Cunningham,DET,62,10.8,45.3,0.9,9.7,3.8,8.2,46.8,49.1,9.5,16.8,8.9,1.6,42.9,60.9
Marcus Sasser,DET,71,4.3,48.6,0.91,3.9,1.5,3.4,43.8,51,6.2,15.7,4.6,1,39.5,63.2
Jaden Ivey,DET,77,4.1,24.6,0.83,3.4,1.2,2.9,41.5,45.8,12.9,19.6,12.6,3.2,38.5,44.3
Malachi Flynn,DET,24,4.7,54.3,0.97,4.6,1.7,3.7,46.6,53.4,11.5,12.4,8.8,1.8,46,80.1
Bojan Bogdanovic,DET,28,3.8,19.7,1,3.8,1.4,2.7,52,59.3,8.6,21,7.6,1,44.8,86.6
Alec Burks,DET,43,2.5,21.8,0.94,2.3,0.7,1.9,33.7,41,15,8.4,15,0.9,40.2,73.3
Killian Hayes,DET,42,3,36.1,0.65,2,0.9,2.3,37.5,38.5,7.9,18.9,5.5,2.4,32.3,16.6
Evan Fournier,DET,29,1.9,23.5,0.89,1.7,0.6,1.4,43.9,46.3,10.9,16.4,10.9,1.8,41.8,59.9
Ausar Thompson,DET,63,0.5,4.7,1,0.5,0.2,0.3,61.9,64.3,10.3,20.7,10.3,3.4,48.3,86.6
Monte Morris,DET,6,2.8,47.2,0.88,2.5,1.2,2.8,41.2,44.1,0,0,0,0,41.2,59
Troy Brown Jr.,DET,22,0.5,8.7,0.73,0.4,0.2,0.5,40,40,0,9.1,0,0,36.4,24.3
Simone Fontecchio,DET,16,0.8,6,0.61,0.5,0.3,0.8,30.8,30.8,0,0,0,0,30.8,12.7
Quentin Grimes,DET,6,2.2,24.1,0.15,0.3,0,1.5,0,0,7.7,23.1,7.7,0,7.7,0.3
