PLAYER,TEAM,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,eFG%
Justin Holiday,DEN,58,38,20,14.9,0.7,0.3,0.6,44.4,0.1,0.2,46.2,52.8
Keldon Johnson,SAS,69,17,52,29.5,1.4,0.5,1.6,32.7,0.3,1,28.6,41.6
Kelly Oubre Jr.,PHI,68,40,28,30.2,2,0.8,2.5,32.5,0.4,1.3,31.5,40.8
Kendall Brown,IND,15,10,5,4.2,0,0,0.1,0,0,0,-,0
Kenrich Williams,OKC,69,49,20,14.9,0.3,0.1,0.5,22.9,0,0.2,25,27.1
Kentavious Caldwell-Pope,DEN,76,54,22,31.6,2.3,1,2.1,46.6,0.3,0.7,45.1,53.7
Keon Ellis,SAC,57,33,24,17.2,1.4,0.5,1.2,40.8,0.4,0.9,40.8,54.9
Keon Johnson,BKN,5,0,5,12.3,0.4,0.2,1.4,14.3,0,0.8,0,14.3
Kevin Huerter,SAC,64,37,27,24.4,2.1,0.8,1.9,41.9,0.5,1.2,41.6,54.8
Kevon Harris,ORL,2,1,1,3,1,0.5,1,50,-,-,-,50
Keyonte George,UTA,75,27,48,27,4,1.5,4.3,36.4,0.9,2.7,34.5,47.5
Killian Hayes,DET,42,7,35,24,3.2,1.5,3.6,42.8,0.1,0.4,31.3,44.4
Kira Lewis Jr.,UTA,28,10,18,9.4,0.5,0.2,0.8,26.1,0,0.3,14.3,28.3
Klay Thompson,GSW,77,41,36,29.7,4.3,1.8,4.2,44.4,0.6,1.5,41.4,51.9
Kobe Bufkin,ATL,17,8,9,11.5,2.9,1.3,3,43.1,0.3,1,29.4,48
Kobi Simmons,TOR,4,0,4,16.9,2.3,1,1.3,80,0.3,0.3,100,90
Kris Dunn,UTA,66,25,41,18.9,0.5,0.2,0.5,40.6,0.1,0.2,30.8,46.9
Kyle Anderson,MIN,79,55,24,22.6,0.8,0.4,1,42.3,0,0.1,14.3,42.9
Kyle Lowry,PHI,60,32,28,28.2,2.2,0.8,2.2,37.9,0.6,1.4,38.8,50.4
Kyrie Irving,DAL,58,39,19,35,9.1,3.8,8.6,44.9,1.4,3.6,39.5,53.2
LaMelo Ball,CHA,22,7,15,32.3,6,2.2,6.7,33.3,1.5,4.5,34.7,44.9
Landry Shamet,WAS,46,6,40,15.8,1.3,0.6,1.5,38.6,0.1,0.7,18.2,42.9
Lester Quinones,GSW,37,24,13,10.7,1,0.4,1,37.8,0.2,0.6,37.5,50
Lindell Wigginton,MIL,3,3,0,2.5,0,0,0,-,0,0,-,-
Lonnie Walker IV,BKN,58,23,35,17.4,2.7,1,2.9,35.7,0.6,1.6,39.4,46.7
Luguentz Dort,OKC,79,54,25,28.4,1.2,0.5,1.2,41.2,0.2,0.5,36.6,49
Luka Dončić,DAL,70,46,24,37.5,14.9,5.9,14.2,41.3,3.2,8.4,37.8,52.5
Luke Kennard,MEM,39,15,24,25.6,1.9,0.8,2.4,32.6,0.4,1.3,30.6,40.8
Malachi Flynn,DET,69,28,41,12.7,1.9,0.8,1.9,40.5,0.4,1.1,32.9,50
Malcolm Brogdon,POR,39,15,24,28.7,4.2,1.8,5.3,34.1,0.6,2.1,28.8,39.7
Malcolm Cazalon,DET,1,0,1,2.6,0,0,0,-,-,-,-,-
Malik Beasley,MIL,79,46,33,29.6,2.2,0.8,2.1,39.5,0.5,1.5,35.7,51.8
Malik Monk,SAC,72,42,30,26,4.3,1.8,4.5,39.3,0.8,2.5,32.2,48
Marcus Sasser,DET,71,11,60,19,4.1,1.7,4.2,40.3,0.7,1.9,37.7,49
Marcus Smart,MEM,20,7,13,30.2,2.6,1.2,3.1,37.1,0.3,1.5,20.7,41.9
Markelle Fultz,ORL,43,25,18,21.2,1.4,0.7,2,36.9,0,0.1,0,36.9
Markquis Nowell,TOR,1,0,1,3.5,0,0,0,-,-,-,-,-
Mason Jones,SAC,5,3,2,5.5,0,0,0.8,0,0,0.8,0,0
Matisse Thybulle,POR,65,18,47,22.9,0.2,0.1,0.4,19.2,0,0.3,14.3,25
Max Christie,LAL,67,38,29,14.1,0.8,0.4,0.9,39.3,0.1,0.3,22.7,43.4
Max Strus,CLE,70,43,27,32,0.8,0.3,1,29,0.2,0.8,24.1,38.4
Mikal Bridges,BKN,82,32,50,34.8,4.5,2,5.2,38.5,0.5,1.5,33.9,43.6
Mike Conley,MIN,76,53,23,28.9,4.5,1.6,3.9,42.3,1.3,2.7,45.7,58.5
Miles McBride,NYK,68,42,26,19.5,2.3,1,2.3,41.4,0.4,1.1,37.2,50.6
Monté Morris,MIN,33,21,12,14.4,1.5,0.7,2,35.8,0.1,0.5,16.7,38.1
Moses Moody,GSW,66,38,28,17.5,0.9,0.4,0.9,41,0.2,0.3,52.2,50.8
Nassir Little,PHX,45,28,17,10.2,0.3,0.1,0.3,40,0,0.2,28.6,46.7
Nate Hinton,HOU,15,8,7,5,0.8,0.3,0.5,57.1,0.3,0.3,80,85.7
Nate Williams,HOU,22,11,11,5.9,0,0,0,0,0,0,-,0
Nick Smith Jr.,CHA,51,9,42,14.3,1.7,0.7,2.4,31.4,0.3,0.7,34.2,36.8
Nickeil Alexander-Walker,MIN,82,56,26,23.4,1.1,0.5,1.4,33.3,0.2,0.9,28.6,42.3
Nicolas Batum,PHI,60,36,24,25.5,0.4,0.1,0.4,36.4,0.1,0.3,37.5,50
Norman Powell,LAC,76,48,28,26.2,2.8,1.2,2.9,39.5,0.5,1.5,31,47.3
OG Anunoby,NYK,50,31,19,34,1.7,0.8,2,38.8,0.2,0.7,24.2,42.9
Ochai Agbaji,TOR,78,31,47,21,0.5,0.2,0.6,34,0.1,0.3,33.3,43.6
Oshae Brissett,BOS,55,46,9,11.5,0.1,0.1,0.2,23.1,0,0.1,0,23.1
Pat Connaughton,MIL,76,45,31,22.1,0.4,0.1,0.3,45.8,0.1,0.3,45.5,66.7
Pat Spencer,GSW,6,4,2,4.3,0,0,0,-,0,0,-,-
Patrick Beverley,MIL,73,43,30,20,1,0.4,1.2,32.2,0.2,0.7,31.3,40.6
Patty Mills,MIA,32,15,17,13,1.2,0.5,1.3,41.5,0.2,0.5,29.4,47.6
Payton Pritchard,BOS,82,64,18,22.3,2.4,1,2.4,40.6,0.4,1.4,30.6,49.2
Peyton Watson,DEN,80,56,24,18.6,0.7,0.3,0.8,42.9,0,0.2,16.7,44.4
Quentin Grimes,DET,51,32,19,20.1,1,0.3,1.3,25.8,0.3,1,28.8,37.1
Quenton Jackson,IND,3,3,0,3.5,0,0,0,-,-,-,-,-
R.J. Hampton,MIA,8,3,5,9.5,0.3,0.1,0.3,50,0,0,-,50
RJ Barrett,TOR,58,26,32,31.7,0.7,0.3,1.1,31.3,0.1,0.2,23.1,33.6
Rayan Rupert,POR,39,7,32,16.2,0.6,0.2,0.7,29.6,0.2,0.4,46.7,42.6
Reggie Bullock Jr.,HOU,44,24,20,9.5,0.3,0.1,0.3,41.7,0.1,0.2,50,58.3
Reggie Jackson,DEN,82,57,25,22.2,2.7,1.1,3.2,35.1,0.4,1.3,31.4,41.3
Ricky Council IV,PHI,32,15,17,9,0.3,0.2,0.4,38.5,0,0.2,20,42.3
Ron Harper Jr.,TOR,1,1,0,3.7,0,0,0,-,-,-,-,-
Russell Westbrook,LAC,68,45,23,22.5,1.4,0.6,1.7,36,0.2,0.5,31.4,40.8
Ryan Arcidiacono,NYK,20,15,5,2.3,0,0,0,-,0,0,-,-
Ryan Rollins,MIL,13,1,12,6,0.5,0.2,0.5,42.9,0.1,0.1,100,50
Saben Lee,PHX,24,15,9,7.7,0.2,0.1,0.3,33.3,0,0.1,0,33.3
Saddiq Bey,ATL,63,28,35,32.7,1.2,0.4,1.6,28.3,0.3,1.1,30.4,38.9
Sam Merrill,CLE,61,36,25,17.5,1.2,0.4,1.5,27,0.4,1.3,28.8,39.9
