PLAYER,TEAM,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,eFG%
Johnny Davis,WAS,34,4,30,7.1,0.5,0.2,0.6,31.8,0.1,0.4,30.8,40.9
Johnny Furphy,IND,50,31,19,7.6,0,0,0.1,0,0,0.1,0,0
Johnny Juzang,UTA,64,15,49,19.8,1.4,0.6,1.6,37.6,0.3,0.8,29.6,45.5
Jonas Valančiūnas,SAC,81,23,58,18.8,0.2,0.1,0.4,31,0,0,-,31
Jonathan Isaac,ORL,71,35,36,15.4,0.2,0.1,0.4,21.4,0,0.1,0,21.4
Jonathan Kuminga,GSW,47,28,19,24.3,1.7,0.8,2.7,29.7,0.1,0.7,14.7,31.6
Jonathan Mogbo,TOR,63,18,45,20.4,0.3,0.1,0.6,21.6,0,0.1,0,21.6
Jordan Clarkson,UTA,37,10,27,26,4.9,1.9,4.9,38.7,1.1,3.1,36,50
Jordan Goodwin,LAL,29,17,12,18.7,1,0.5,1.2,38.9,0.1,0.3,20,41.7
Jordan Hawkins,NOP,56,18,38,23.6,3.4,1.5,4.1,35.7,0.5,1.7,29.9,42
Jordan McLaughlin,SAS,46,17,29,6.8,0.9,0.3,0.6,53.6,0.2,0.4,55,73.2
Jordan Miller,LAC,37,21,16,11.4,0.2,0.1,0.4,21.4,0,0.2,0,21.4
Jordan Poole,WAS,68,15,53,29.4,6.9,2.5,6.6,37.1,2,5,39.1,51.9
Jordan Walsh,BOS,52,39,13,7.8,0.1,0,0.1,25,0,0.1,25,37.5
Jose Alvarado,NOP,56,19,37,24.4,3,1.1,2.9,39.1,0.7,2,36.4,51.6
Josh Christopher,MIA,14,9,5,5,0.1,0.1,0.4,16.7,0,0.2,0,16.7
Josh Giddey,CHI,70,33,37,30.2,2.1,0.9,2.2,41.4,0.3,0.7,35.3,47.1
Josh Green,CHA,68,17,51,27.8,0.5,0.2,0.8,27.3,0,0.2,21.4,30
Josh Hart,NYK,77,48,29,37.6,1.8,0.8,2,38.4,0.3,0.9,33.3,46.4
Josh Minott,MIN,46,32,14,6,0,0,0,0,0,0,0,0
Josh Okogie,CHA,40,11,29,15.6,0.5,0.2,0.5,38.9,0.1,0.3,40,50
Josh Richardson,MIA,8,4,4,18.7,0.3,0.1,0.5,25,0,0.1,0,25
Jrue Holiday,BOS,62,47,15,30.6,2,0.8,2.5,31.8,0.4,1.6,26.7,40.4
Julian Champagnie,SAS,82,34,48,23.6,1,0.4,0.9,39,0.3,0.7,36.7,53.2
Julian Phillips,CHI,79,37,42,14.2,0,0,0,0,0,0,-,0
Julian Strawther,DEN,65,41,24,21.3,1.5,0.7,1.9,35.5,0.2,0.8,28.6,41.3
Julius Randle,MIN,69,44,25,32.3,3.1,1.3,3.3,40.3,0.4,1.2,31,45.9
Justin Champagnie,WAS,62,16,46,21.6,0.2,0.1,0.4,15.4,0,0.3,10,19.2
Justin Edwards,PHI,44,11,33,26.2,2.2,1,2.1,45.7,0.2,0.6,32.1,50.5
Justin Minaya,POR,19,8,11,5.3,0,0,0,-,0,0,-,-
Jusuf Nurkić,CHA,51,18,33,20.8,0,0,0.3,0,0,0.2,0,0
KJ Martin,UTA,43,11,32,21.2,0,0,0,0,0,0,-,0
KJ Simpson,CHA,36,3,33,23.4,1.8,0.7,2.8,26.3,0.4,1.5,26.4,33.3
Kai Jones,DAL,40,20,20,11.7,0.2,0.1,0.4,23.5,0,0.1,25,26.5
Karl-Anthony Towns,NYK,72,46,26,35,1,0.4,1.6,27.6,0.1,0.6,20.9,31.5
Karlo Matković,NOP,42,12,30,18.8,0,0,0,100,0,0,-,100
Kawhi Leonard,LAC,37,26,11,31.9,7.6,3.4,8,42.4,0.8,2.1,39.2,47.6
Keaton Wallace,ATL,31,15,16,16.2,1.7,0.8,2.3,33.8,0.2,0.7,26.1,38
Keegan Murray,SAC,76,36,40,34.3,1.4,0.6,1.9,34.5,0.1,0.6,20.9,37.7
Keion Brooks Jr.,NOP,14,2,12,23.7,1.5,0.7,1.2,58.8,0.1,0.2,33.3,61.8
Kel'el Ware,MIA,64,28,36,22.2,0.3,0.1,0.4,33.3,0,0.1,20,35.2
Keldon Johnson,SAS,77,31,46,23.9,0.8,0.3,0.8,35.4,0.2,0.6,37.8,48.5
Kelly Olynyk,NOP,44,12,32,20.2,0.8,0.3,0.8,37.8,0.1,0.3,46.2,45.9
Kelly Oubre Jr.,PHI,60,21,39,34.6,1,0.5,1.7,26.2,0.1,0.7,14,29.1
Kenrich Williams,OKC,69,58,11,16.4,0.6,0.3,0.8,32.8,0.1,0.3,23.8,37.1
Kentavious Caldwell-Pope,MEM,77,38,39,29.6,2.1,0.9,2.2,42.8,0.2,0.8,28.6,48.2
Keon Ellis,SAC,80,39,41,24.4,1.2,0.4,1.2,37.6,0.3,0.7,40,49.5
Keon Johnson,BKN,79,25,54,24.4,1.1,0.4,1.7,25.9,0.2,1.1,20.5,32.6
Keshad Johnson,MIA,16,10,6,6.1,0.2,0.1,0.1,100,0.1,0.1,100,150
Kessler Edwards,DAL,40,17,23,15.2,0.2,0.1,0.4,28.6,0,0.1,0,28.6
Kevin Durant,PHX,62,33,29,36.5,8.5,4,8.2,49.4,0.4,1.2,32.4,51.8
Kevin Huerter,CHI,69,39,30,24.3,2,0.8,1.9,40.6,0.5,1.3,38,54.3
Kevin Knox II,GSW,14,11,3,6,0.5,0.2,0.4,60,0.1,0.1,100,70
Kevin Love,MIA,23,13,10,10.9,0.7,0.3,0.6,42.9,0.2,0.4,50,60.7
Kevin McCullar Jr.,NYK,4,4,0,7.3,0,0,0.8,0,0,0,-,0
Kevin Porter Jr.,MIL,75,43,32,19.8,4.2,1.9,4.5,41.8,0.5,1.4,32.4,46.9
Kevon Looney,GSW,76,45,31,15,0.1,0,0.1,27.3,0,0,0,27.3
Keyonte George,UTA,67,13,54,31.5,5,1.9,5.6,33.3,1.3,3.9,32.6,44.7
Khris Middleton,WAS,37,18,19,22.8,5.5,2.4,5.1,47.3,0.6,1.9,34.8,53.7
Killian Hayes,BKN,6,1,5,27.1,0.8,0.3,1.7,20,0.2,0.8,20,25
Klay Thompson,DAL,72,33,39,27.3,3.6,1.5,4.2,35.5,0.6,1.9,28.8,42.1
Kobe Brown,LAC,40,25,15,6.8,0,0,0.1,0,0,0.1,0,0
Kobe Bufkin,ATL,10,6,4,12.4,0.9,0.4,1.3,30.8,0.1,0.5,20,34.6
Kris Dunn,LAC,74,45,29,24.1,0.7,0.3,0.7,41.8,0.1,0.2,35.3,47.3
Kris Murray,POR,69,31,38,15.1,0.2,0.1,0.2,23.5,0.1,0.2,23.5,35.3
Kristaps Porziņģis,BOS,42,30,12,28.8,1,0.5,1.6,31.3,0,0.3,16.7,32.8
Kyle Anderson,MIA,61,30,31,16.4,0.6,0.3,0.9,30.4,0.1,0.3,31.3,34.8
Kyle Filipowski,UTA,72,13,59,21.1,0.4,0.2,0.4,43.3,0.1,0.2,33.3,51.7
Kyle Kuzma,MIL,65,25,40,29.8,2.1,0.9,2.9,29.5,0.4,1.4,27.8,36.1
Kyle Lowry,PHI,35,14,21,18.8,0.9,0.3,1,33.3,0.2,0.7,32,44.4
Kylor Kelley,LAL,11,3,8,11.5,0,0,0,-,-,-,-,-
Kyrie Irving,DAL,50,28,22,36.1,7.7,3.2,7.9,40.2,1.3,3.8,35.3,48.7
Kyshawn George,WAS,68,15,53,26.5,1.3,0.5,1.8,27,0.4,1.4,25.8,36.9
LaMelo Ball,CHA,47,16,31,32,8.8,3.4,9.7,34.6,2.1,6.5,31.6,45.3
Lamar Stevens,MEM,17,7,10,9.1,0.6,0.3,0.5,62.5,0.1,0.2,33.3,68.8
Landry Shamet,NYK,50,30,20,15.2,1.2,0.5,1.2,41,0.2,0.8,23.7,48.4
Larry Nance Jr.,ATL,24,10,14,19.3,0.1,0,0.2,20,0,0,0,20
Lauri Markkanen,UTA,47,9,38,31.4,1.3,0.6,1.6,33.8,0.2,0.7,29,39.6
LeBron James,LAL,70,44,26,34.9,5.5,2.4,6.1,38.6,0.8,2.5,32.6,45.1
Leonard Miller,MIN,13,11,2,2.4,0,0,0.2,0,0,0.1,0,0
Lester Quinones,NOP,13,3,10,14.1,0.8,0.3,1.8,17.4,0.2,1.2,18.8,23.9
Liam Robbins,MIL,13,8,5,4.4,0,0,0,-,0,0,-,-
Lindy Waters III,DET,52,27,25,15,1.1,0.4,1,41.5,0.3,0.6,42.4,54.7
Lonnie Walker IV,PHI,20,3,17,23.8,3.3,1.3,3.6,36.1,0.7,2.2,30.2,45.1
Lonzo Ball,CHI,35,16,19,22.2,1.9,0.7,1.8,37.5,0.5,1.2,39.5,50.8
Luguentz Dort,OKC,71,57,14,29.2,1.5,0.6,1.6,38.4,0.3,0.8,35.1,47.3
Luka Dončić,LAL,50,31,19,35.4,11.1,4.3,11.9,36.5,2.5,6.8,36,46.9
Luka Garza,MIN,39,28,11,5.6,0.1,0.1,0.2,25,0,0,0,25
Luke Kennard,MEM,65,37,28,22.6,2.1,0.9,2.1,42,0.3,1,34.9,50
Luke Kornet,BOS,73,53,20,18.6,0.1,0.1,0.1,55.6,0,0,0,55.6
Luke Travers,CLE,12,10,2,7.3,0,0,0.2,0,0,0.2,0,0
Mac McClung,ORL,2,1,1,5.1,0,0,0.5,0,0,0,-,0
Malachi Flynn,SAS,4,2,2,10.9,0.5,0.3,1,25,0,0,-,25
Malaki Branham,SAS,47,18,29,9.1,1,0.4,1.1,35.8,0.1,0.4,35,42.5
Malcolm Brogdon,WAS,24,6,18,23.5,2.3,1.1,3.3,32.5,0.1,0.8,15,34.4
Malevy Leons,OKC,6,6,0,3.5,0,0,0,-,0,0,-,-
Malik Beasley,DET,82,44,38,27.8,3.8,1.5,3.9,37.2,0.9,2.3,37,48.1
Malik Monk,SAC,65,36,29,31.6,4.5,1.9,4.9,37.7,0.8,2.7,28.3,45.3
MarJon Beauchamp,NYK,35,19,16,4.5,0.7,0.3,0.8,35.7,0.2,0.4,42.9,46.4
Marcus Bagley,PHI,10,1,9,25.3,0,0,0.6,0,0,0.4,0,0
Marcus Garrett,CHA,4,1,3,19.8,0.5,0.3,1.5,16.7,0,0.3,0,16.7
Marcus Sasser,DET,57,30,27,14.2,2.9,1.1,2.6,43,0.6,1.6,39.8,55.3
Marcus Smart,WAS,34,17,17,20,1.9,0.8,1.8,41.9,0.4,1.1,36.1,52.4
Mark Williams,CHA,44,9,35,26.6,0.2,0.1,0.3,36.4,0,0,0,36.4
Markelle Fultz,SAC,21,9,12,8.8,1.1,0.6,1.5,38.7,0,0,0,38.7
Markieff Morris,LAL,15,7,8,11,0.9,0.5,1.5,30.4,0,0.3,0,30.4
Marvin Bagley III,MEM,31,7,24,8.6,0.1,0,0.1,25,0,0,-,25
Mason Jones,SAC,10,4,6,4.5,0.4,0.2,0.3,66.7,0,0.1,0,66.7
Mason Plumlee,PHX,74,33,41,17.6,0,0,0.1,0,0,0,0,0
Matas Buzelis,CHI,80,39,41,18.9,0.4,0.1,0.5,29.7,0.1,0.3,35,39.2
Matisse Thybulle,POR,15,8,7,20.8,0.6,0.2,0.5,42.9,0.2,0.4,50,64.3
Matt Ryan,NOP,19,14,5,3.6,0.3,0.1,0.4,28.6,0.1,0.2,25,35.7
Max Christie,DAL,78,40,38,27.3,1.1,0.5,1.7,27.9,0.1,0.6,15.6,30.5
Max Strus,CLE,50,39,11,25.5,0.8,0.3,1,25.5,0.3,1,26.5,38.2
Maxi Kleber,LAL,34,18,16,18.7,0.4,0.2,0.4,58.3,0,0.1,50,62.5
Maxwell Lewis,BKN,28,9,19,11.7,1,0.4,1.1,36.7,0.2,0.6,31.3,45
Micah Potter,UTA,38,10,28,18.6,0,0,0.1,0,0,0.1,0,0
Michael Porter Jr.,DEN,77,47,30,33.7,3.1,1.3,3.2,39.2,0.5,1.6,33.9,47.6
Mikal Bridges,NYK,82,51,31,37,4.3,2,4.6,44.7,0.2,0.7,25.9,46.7
Mike Conley,MIN,71,44,27,24.7,2.8,1,2.9,33.5,0.8,2.1,37.8,46.9
Miles Bridges,CHA,64,16,48,31.7,3.2,1.2,4.4,27,0.8,2.9,26.6,35.8
Miles McBride,NYK,64,39,25,24.9,3.1,1.3,3.4,38.7,0.5,1.8,29.2,46.3
Miles Norris,BOS,3,2,1,11.6,0,0,0,-,0,0,-,-
Mitchell Robinson,NYK,17,10,7,17.1,0,0,0,-,-,-,-,-
Mo Bamba,NOP,32,19,13,12.9,0,0,0,0,0,0,-,0
Monte Morris,PHX,45,21,24,12.7,1,0.5,1.4,34.4,0.1,0.3,20,36.9
Moritz Wagner,ORL,30,18,12,18.8,0.1,0,0.1,25,0,0,0,25
Moses Brown,DAL,13,5,8,9.1,0,0,0.2,0,-,-,-,0
Moses Moody,GSW,74,45,29,22.3,0.9,0.4,1,36.1,0.2,0.5,41.7,46.5
Mouhamed Gueye,ATL,33,15,18,16.1,0.1,0.1,0.2,33.3,0,0.1,0,33.3
Moussa Diabaté,CHA,71,15,56,17.5,0.2,0.1,0.2,50,0,0,0,50
Myles Turner,IND,72,44,28,30.2,0.9,0.4,1.1,35.5,0.2,0.5,35.3,43.4
N'Faly Dante,HOU,4,0,4,12.7,0,0,0.3,0,-,-,-,0
Nae'Qwan Tomlin,CLE,5,4,1,12.7,0,0,0.8,0,0,0.6,0,0
Naji Marshall,DAL,69,32,37,27.8,1.7,0.8,1.9,43.1,0,0.4,6.7,43.8
Nate Williams,HOU,20,14,6,7.3,0,0,0.2,0,0,0.1,0,0
Naz Reid,MIN,80,47,33,27.5,1.8,0.7,1.7,39.6,0.4,1.1,41.2,52.6
Neemias Queta,BOS,62,46,16,13.9,0,0,0,-,0,0,-,-
Nic Claxton,BKN,70,20,50,26.9,0.2,0.1,0.3,34.8,0,0,-,34.8
Nick Richards,PHX,57,17,40,22,0,0,0.1,14.3,0,0,0,14.3
Nick Smith Jr.,CHA,60,14,46,22.8,3.5,1.6,3.9,39.6,0.4,1.3,32.5,45.1
Nickeil Alexander-Walker,MIN,82,49,33,25.3,1.3,0.6,1.8,31.7,0.2,0.9,21.1,37.2
Nicolas Batum,LAC,78,47,31,17.5,0.1,0,0.2,16.7,0,0.1,20,25
Nikola Jokić,DEN,70,46,24,36.7,1.6,0.6,2,31.7,0.3,0.9,30.3,38.7
Nikola Jović,MIA,46,21,25,25.1,0.6,0.2,0.7,32.4,0.2,0.4,35,42.6
Nikola Vučević,CHI,73,34,39,31.2,1.3,0.7,1.2,52.7,0,0,50,53.3
Noah Clowney,BKN,46,11,35,22.7,0.5,0.2,0.8,25.7,0.1,0.4,31.6,34.3
Norman Powell,LAC,60,39,21,32.6,5.2,2,5.3,38.4,1.2,3.1,37.8,49.7
OG Anunoby,NYK,74,45,29,36.6,1.9,0.8,2.4,32.4,0.4,1.1,34.2,39.9
Obi Toppin,IND,79,48,31,19.6,0.6,0.2,0.8,29.2,0.1,0.5,28.9,37.7
Ochai Agbaji,TOR,64,19,45,27.2,0.6,0.3,0.6,43.2,0.1,0.3,44.4,54.1
Olivier-Maxence Prosper,DAL,52,27,25,11.2,0,0,0.3,0,0,0.1,0,0
Onyeka Okongwu,ATL,74,35,39,27.9,0.2,0.1,0.3,35,0,0,0,35
Orlando Robinson,TOR,44,23,21,17.5,0.1,0.1,0.3,21.4,0,0,0,21.4
Oscar Tshiebwe,UTA,14,3,11,18.2,0,0,0.1,0,-,-,-,0
Oshae Brissett,PHI,6,1,5,23.7,1,0.3,0.3,100,0.3,0.3,100,150
Oso Ighodaro,PHX,61,25,36,17.1,0.3,0.2,0.3,62.5,0,0,0,62.5
Ousmane Dieng,OKC,37,30,7,10.9,0.3,0.1,0.6,21.7,0.1,0.4,14.3,26.1
P.J. Tucker,NYK,3,1,2,19.3,0,0,0.3,0,0,0.3,0,0
P.J. Washington,DAL,57,31,26,32.2,1.6,0.6,2,31.3,0.4,1.1,33.3,40
PJ Dozier,MIN,9,7,2,3.9,0,0,0,-,0,0,-,-
PJ Hall,DEN,19,12,7,3.5,0,0,0.1,0,0,0.1,0,0
Pacôme Dadiet,NYK,18,14,4,6.2,0.1,0.1,0.3,20,0,0.1,0,20
Paolo Banchero,ORL,46,21,25,34.4,8.4,3.6,9.4,38.1,1.2,3.9,30.7,44.5
Pascal Siakam,IND,78,47,31,32.7,3.3,1.6,3.8,42.2,0.1,0.4,36.7,44
Pat Connaughton,MIL,41,19,22,14.7,0.6,0.2,0.5,40.9,0.1,0.5,31.6,54.5
Pat Spencer,GSW,39,24,15,6.4,0.5,0.2,0.5,42.9,0,0.2,0,42.9
Patrick Baldwin Jr.,LAC,24,3,21,4.4,0.1,0,0.3,16.7,0,0.3,16.7,25
Patrick Williams,CHI,63,31,32,25,1.8,0.7,2.1,34.1,0.3,1.1,30.6,42.2
Patty Mills,LAC,29,12,17,11.1,1.2,0.5,1.2,38.9,0.3,0.8,33.3,50
Paul George,PHI,41,15,26,32.5,6.6,2.8,7.2,38.6,1,3.1,33.3,45.9
Paul Reed,DET,45,22,23,9.7,0,0,0.2,11.1,0,0.1,0,11.1
Payton Pritchard,BOS,80,59,21,28.4,3.9,1.5,3.8,39,1,2.9,34.8,52.3
Pelle Larsson,MIA,55,24,31,14.2,0.1,0,0.3,10.5,0,0.2,15.4,15.8
Pete Nance,MIL,13,8,5,10.6,0.2,0.1,0.3,25,0,0.2,0,25
Peyton Watson,DEN,68,40,28,24.3,0.3,0.1,0.5,24.2,0,0.1,16.7,25.8
Phillip Wheeler,PHI,5,0,5,8.9,0,0,0.8,0,0,0.8,0,0
Precious Achiuwa,NYK,57,36,21,20.5,0.5,0.2,0.6,40.6,0,0,0,40.6
Quentin Grimes,PHI,75,29,46,26.8,3.7,1.4,3.8,38.2,0.8,2.2,36.8,48.8
Quenton Jackson,IND,28,14,14,13.6,0.6,0.2,0.8,27.3,0.2,0.5,33.3,38.6
Quincy Olivari,LAL,2,1,1,5.2,0,0,0.5,0,0,0.5,0,0
Quinten Post,GSW,42,26,16,16.3,0.2,0.1,0.2,57.1,0,0.1,50,71.4
RJ Barrett,TOR,58,23,35,32.2,1.5,0.7,1.9,37,0.1,0.6,21.2,40.3
RayJ Dennis,IND,11,7,4,6.4,1.2,0.5,1.2,38.5,0.3,0.7,37.5,50
Rayan Rupert,POR,52,23,29,8.8,0.3,0.1,0.4,27.3,0.1,0.3,20,34.1
Reece Beekman,BKN,36,13,23,13,0.1,0.1,0.5,11.1,0,0.1,0,11.1
Reed Sheppard,HOU,52,30,22,12.6,1.1,0.4,1.6,28.4,0.2,0.7,29.4,34.6
Reggie Jackson,PHI,31,11,20,12.4,1,0.4,1.4,29.5,0.2,0.6,31.6,36.4
Richaun Holmes,WAS,31,9,22,17.2,0,0,0.1,0,0,0,0,0
Ricky Council IV,PHI,73,16,57,17.1,0.9,0.4,1.5,23.9,0.1,0.8,14.8,27.9
Riley Minix,SAS,1,0,1,6.7,0,0,0,-,0,0,-,-
Rob Dillingham,MIN,49,30,19,10.5,1.6,0.6,1.7,37.3,0.3,0.8,36.8,45.8
Robert Williams III,POR,20,7,13,17.6,0,0,0.1,0,0,0,-,0
Ron Harper Jr.,DET,1,0,1,17,0,0,0,-,0,0,-,-
Ronald Holland II,DET,81,44,37,15.6,0.5,0.2,0.6,33.3,0.1,0.3,25,39.6
Royce O'Neale,PHX,75,33,42,24.5,0.9,0.3,1,31.6,0.2,0.7,29.1,42.1
Rudy Gobert,MIN,72,43,29,33.2,0,0,0,0,-,-,-,0
Rui Hachimura,LAL,59,37,22,31.7,0.8,0.4,1.1,35.9,0,0.1,33.3,37.5
Russell Westbrook,DEN,75,43,32,27.9,1.5,0.6,2.3,27.6,0.2,0.9,25.8,32.5
Ryan Dunn,PHX,74,32,42,19.1,0.4,0.2,0.5,34.3,0,0.2,21.4,38.6
Ryan Rollins,MIL,56,30,26,14.6,0.8,0.4,1,37.5,0.1,0.3,27.8,42
Sam Hauser,BOS,71,52,19,21.7,1.8,0.7,1.3,49.5,0.4,1,43.1,65.8
Sam Merrill,CLE,71,54,17,19.7,0.9,0.3,0.9,31.8,0.3,0.9,32.3,47
Sandro Mamukelashvili,SAS,61,23,38,11.2,0.4,0.2,0.3,52.6,0.1,0.2,41.7,65.8
Santi Aldama,MEM,65,38,27,25.5,1.2,0.5,1.1,44.3,0.2,0.5,43.8,54.3
Scoot Henderson,POR,66,30,36,26.7,3.2,1.2,3.3,36.7,0.7,2,34.6,47.1
Scottie Barnes,TOR,65,26,39,32.8,4.9,2.3,5.8,39.1,0.4,1.4,25.5,42.3
Scotty Pippen Jr.,MEM,79,46,33,21.3,0.6,0.3,0.9,31.5,0.1,0.3,19.2,34.9
Seth Curry,CHA,68,17,51,15.6,2.1,0.9,2,46.6,0.3,0.6,43.2,53.8
Shaedon Sharpe,POR,72,32,40,31.3,5.9,2.4,6.4,37.8,1,3.3,30.4,45.6
Shai Gilgeous-Alexander,OKC,76,63,13,34.2,12.3,5.3,11.9,44.6,1.7,4.7,35.4,51.6
Shake Milton,LAL,57,29,28,14.7,1.4,0.6,1.4,43,0.2,0.5,32.1,48.7
Sidy Cissoko,POR,22,11,11,5.2,0,0,0.1,0,0,0,0,0
Simone Fontecchio,DET,75,38,37,16.5,0.5,0.2,0.8,29.8,0.1,0.4,23.3,36
Skal Labissiere,SAC,4,2,2,3,0,0,0,-,0,0,-,-
Spencer Dinwiddie,DAL,79,37,42,27,3.6,1.4,3.7,38.6,0.8,2.3,33.7,49
Spencer Jones,DEN,20,13,7,6.2,0.2,0.1,0.2,66.7,0,0,-,66.7
Stanley Umude,MIL,22,15,7,3.9,0,0,0.2,0,0,0,-,0
Stephen Curry,GSW,70,41,29,32.2,8.7,3.2,8.1,40,2.2,6.1,36.6,53.6
Stephon Castle,SAS,81,33,48,26.7,2.2,1,3.2,29.7,0.3,1.4,25.2,35.1
Steven Adams,HOU,58,38,20,13.7,0,0,0,100,0,0,-,100
Svi Mykhailiuk,UTA,38,6,32,20,2.9,1.1,3.4,31.3,0.8,2.7,29.1,42.7
T.J. McConnell,IND,79,49,30,17.9,2.7,1.3,2.8,46.6,0.1,0.2,29.4,47.8
Taj Gibson,CHA,37,10,27,11,0,0,0.1,0,0,0,-,0
Talen Horton-Tucker,CHI,58,26,32,12.5,0.6,0.2,0.8,27.3,0.1,0.5,25.8,36.4
Tari Eason,HOU,57,36,21,24.9,0.8,0.4,1.2,33.3,0,0.2,18.2,34.8
Taurean Prince,MIL,80,46,34,27.1,0.8,0.3,1.1,25.6,0.2,0.8,23,33.3
Taylor Hendricks,UTA,3,0,3,24.8,1,0.3,1.3,25,0.3,0.3,100,37.5
Taze Moore,POR,2,0,2,9.9,0,0,1,0,0,0.5,0,0
Terance Mann,ATL,67,37,30,21.1,1.6,0.7,2,36.4,0.2,0.8,24.5,41.3
Terence Davis,SAC,1,1,0,7.9,0,0,1,0,0,0,-,0
Terrence Shannon Jr.,MIN,32,21,11,10.6,0.4,0.2,0.5,33.3,0.1,0.2,40,40
Terry Rozier,MIA,64,27,37,25.9,2.9,1.1,3.5,32.2,0.6,2.2,25.9,40.3
Terry Taylor,SAC,3,1,2,2.1,0,0,0,-,-,-,-,-
Thomas Bryant,IND,66,44,22,14.6,0.2,0.1,0.2,37.5,0,0.2,20,43.8
Tidjane Salaün,CHA,60,12,48,20.7,1,0.3,1.2,27,0.3,1,29.8,38.5
Tim Hardaway Jr.,DET,77,41,36,28,2,0.8,2.4,34.6,0.4,1,33.8,42
Tobias Harris,DET,73,40,33,31.6,2.6,1.3,3.2,39.4,0.1,0.4,13.8,40.3
Tolu Smith,DET,1,0,1,22.4,0,0,0,-,-,-,-,-
Tony Bradley,IND,14,11,3,8.1,0,0,0.1,0,0,0,-,0
Torrey Craig,BOS,26,16,10,12.1,0.4,0.2,0.3,44.4,0.1,0.2,50,61.1
Tosan Evbuomwan,BKN,28,8,20,23.7,1.3,0.6,1.5,41.5,0.1,0.2,50,45.1
Toumani Camara,POR,78,33,45,32.7,0.4,0.1,0.5,30.6,0.1,0.4,35.5,45.8
Trae Young,ATL,76,36,40,36,10.4,4,10.6,37.9,2.4,7,34.2,49.2
Trayce Jackson-Davis,GSW,62,33,29,15.6,0,0,0,0,0,0,-,0
Tre Jones,CHI,46,21,25,19.7,0.3,0.1,0.5,24,0,0.1,20,26
Tre Mann,CHA,13,6,7,24.5,4.4,1.8,4.6,38.3,0.8,2.4,35.5,47.5
Trendon Watford,BKN,44,16,28,20.7,0.6,0.3,0.8,29.7,0.1,0.4,23.5,35.1
Trentyn Flowers,LAC,6,4,2,4.4,0.3,0.2,0.3,50,0,0,-,50
Trevelin Queen,ORL,31,15,16,13.9,0.9,0.3,1.3,25.6,0.3,1,25.8,35.9
Trey Alexander,DEN,24,14,10,4.9,0.5,0.3,0.7,37.5,0,0.1,0,37.5
Trey Jemison III,LAL,38,17,21,10.3,0.1,0,0.1,33.3,-,-,-,33.3
Trey Lyles,SAC,69,34,35,19.6,0.1,0.1,0.3,19,0,0.2,7.1,21.4
Trey Murphy III,NOP,53,14,39,35,3.3,1.3,4.2,30.5,0.8,2.8,28.7,40.2
Tristan Thompson,CLE,40,31,9,8.2,0,0,0.2,0,0,0,0,0
Tristan Vukcevic,WAS,35,7,28,14.6,0.8,0.4,1,37.1,0.1,0.3,16.7,40
Tristan da Silva,ORL,74,35,39,22,0.7,0.3,0.9,32.8,0.2,0.5,32.4,42.2
Tristen Newton,MIN,8,2,6,2,0,0,0.3,0,0,0.1,0,0
Ty Jerome,CLE,70,55,15,19.9,4.7,2,4,49.1,0.8,1.9,42,58.9
TyTy Washington Jr.,PHX,16,4,12,7.4,0.8,0.4,1.4,27.3,0.1,0.4,16.7,29.5
Tyler Herro,MIA,77,37,40,35.4,8.1,3.3,7.6,42.9,1.5,4.3,35.3,52.8
Tyler Kolek,NYK,41,27,14,7.2,0.1,0,0.5,10,0,0.2,0,10
Tyler Smith,MIL,23,12,11,5.3,0.1,0,0.1,50,0,0,100,75
Tyrese Haliburton,IND,73,46,27,33.6,9.1,3.5,8.4,41.3,2.1,5.7,37.4,53.9
Tyrese Martin,BKN,60,16,44,21.9,1.3,0.6,1.6,34.4,0.2,0.8,26,41.1
Tyrese Maxey,PHI,52,20,32,37.7,8.7,3.4,9.1,37.1,1.9,6,32.5,47.8
Tyson Etienne,BKN,7,1,6,21.6,0.3,0.1,0.6,25,0,0.4,0,25
Tyus Jones,PHX,81,36,45,26.8,2.2,0.9,2.4,39.4,0.3,0.8,33.8,45.3
Ulrich Chomche,TOR,7,3,4,4.6,0,0,0,-,-,-,-,-
Vasilije Micic,PHX,41,8,33,19.1,2.9,1.1,3.6,31.3,0.7,2,35,40.8
Victor Wembanyama,SAS,46,21,25,33.2,4.4,1.8,5.2,34,0.9,2.8,31.3,42.4
Vince Williams Jr.,MEM,27,10,17,18.5,0.7,0.3,0.8,36.4,0.1,0.5,30.8,45.5
Vlatko Čančar,DEN,13,2,11,10.4,0,0,0,-,0,0,-,-
Vít Krejčí,ATL,57,28,29,20.2,1.1,0.4,1,42.1,0.3,0.8,37.8,57
Walker Kessler,UTA,58,14,44,30,0,0,0,0,0,0,0,0
Wendell Carter Jr.,ORL,68,31,37,25.9,0.4,0.2,0.6,31.7,0,0,0,31.7
Wendell Moore Jr.,CHA,36,11,25,13.9,0.3,0.1,0.6,20,0,0.2,14.3,22.5
Xavier Tillman,BOS,33,26,7,7,0,0,0,0,0,0,0,0
Yuki Kawamura,MEM,22,17,5,4.2,0.8,0.3,0.7,43.8,0.2,0.5,36.4,56.3
Yuri Collins,GSW,2,2,0,8.1,1,0.5,1.5,33.3,-,-,-,33.3
Yves Missi,NOP,73,19,54,26.8,0,0,0,50,0,0,-,50
